LondInOut,Age5,Disab3,Educ6,Eth7,Gend3,NSSEC5,Orient4,Relig7,DVBMI,VolAny,DURATION_SPORTCOUNT_A01,MEMS7_IN_SPORTCOUNT_A01,MEMS7_OUT_SPORTCOUNT_A01,LA_Code,LA_Name
Inner London,45-64,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,,,21.224489795918366,,652.5,,,E09000014,Haringey
Outer London,,No disability,Level 4 or above,,Female,NS SEC 9: Students and other / unclassified,,,20.63451496099611,,337.5,,,E09000017,Hillingdon
Outer London,25-44,No disability,Level 4 or above,White Other,Male,NS SEC 1-2: Higher social groups,,,31.01395308860636,,1830.0,,,E09000003,Barnet
Outer London,25-44,No disability,Level 4 or above,Asian (excl. Chinese),Female,NS SEC 1-2: Higher social groups,,,33.87107206473465,,157.5,,,E09000024,Merton
Inner London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,,No,3435.0,1440.0,5430.0,E09000025,Newham
Outer London,45-64,Limiting disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,,,,,2800.0,,,E09000002,Barking and Dagenham
Outer London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,19.44210140410467,Yes,507.5,,,E09000006,Bromley
Outer London,25-44,Non-limiting disability,Level 4 or above,Black,Male,NS SEC 1-2: Higher social groups,,,23.183673469387756,,157.5,,,E09000006,Bromley
Inner London,25-44,No disability,Level 4 or above,Other ethnic group,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,,20.549886621315196,Yes,540.0,0.0,390.0,E09000012,Hackney
Outer London,65+,No disability,Level 4 or above,Mixed,Male,,,,33.40039505719138,,416.25,,,E09000027,Richmond upon Thames
Outer London,45-64,,,,Other,NS SEC 9: Students and other / unclassified,,,,No,2025.0,,,E09000017,Hillingdon
Inner London,25-44,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,,,,,285.0,,,E09000028,Southwark
Inner London,45-64,Limiting disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,24.37673130193906,No,525.0,,,E09000033,Westminster
Outer London,45-64,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,,,,,300.0,,,E09000004,Bexley
Inner London,65+,Non-limiting disability,Level 2 and equivalents,Other ethnic group,Female,NS SEC 1-2: Higher social groups,,,32.29176612520833,,1290.0,,,E09000007,Camden
Inner London,65+,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,,,24.17026825143685,,1260.0,,,E09000007,Camden
Outer London,25-44,Limiting disability,Level 4 or above,White Other,Female,NS SEC 1-2: Higher social groups,Bisexual,Christian,20.343494649372893,Yes,1350.0,480.0,600.0,E09000008,Croydon
Outer London,25-44,Non-limiting disability,Level 4 or above,Asian (excl. Chinese),Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Hindu,25.384305948765437,No,581.25,225.0,93.75,E09000018,Hounslow
Outer London,45-64,No disability,Level 4 or above,Asian (excl. Chinese),Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Hindu,29.349202821491126,No,945.0,0.0,1410.0,E09000018,Hounslow
Outer London,45-64,No disability,Level 4 or above,White Other,Female,NS SEC 1-2: Higher social groups,,,25.25951557093426,,210.0,,,E09000018,Hounslow
Outer London,25-44,,Level 2 and equivalents,White Other,Male,NS SEC 3-5: Middle social groups,Gay or Lesbian,Christian,20.967329718431536,No,270.0,,,E09000021,Kingston upon Thames
Outer London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Gay or Lesbian,,24.683440174572443,No,150.0,,,E09000021,Kingston upon Thames
Inner London,45-64,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,23.055960602622612,No,240.0,0.0,225.0,E09000023,Lewisham
Inner London,45-64,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,25.15396998278923,No,420.0,0.0,840.0,E09000023,Lewisham
Inner London,45-64,,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,27.171832853423275,Yes,697.5,0.0,0.0,E09000023,Lewisham
Inner London,25-44,No disability,Level 2 and equivalents,Asian (excl. Chinese),Female,NS SEC 3-5: Middle social groups,Heterosexual or Straight,Sikh,,No,150.0,,,E09000023,Lewisham
Inner London,45-64,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,27.67316597121603,Yes,426.25,,,E09000025,Newham
Inner London,65+,No disability,Level 2 and equivalents,White British,Male,,,,27.998405915744595,,2580.0,,,E09000033,Westminster
Inner London,65+,Non-limiting disability,Level 4 or above,White British,Male,,Heterosexual or Straight,Christian,22.446296705001835,No,1080.0,0.0,1050.0,E09000001,City of London
Outer London,45-64,No disability,Level 4 or above,Black,Male,NS SEC 1-2: Higher social groups,,,28.43302546288823,,457.5,,,E09000002,Barking and Dagenham
Outer London,25-44,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,32.23959533005381,No,420.0,,,E09000004,Bexley
Outer London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,29.288821021084846,Yes,440.0,,,E09000004,Bexley
Outer London,45-64,Non-limiting disability,Level 4 or above,Mixed,Female,NS SEC 1-2: Higher social groups,,,22.70514805678711,,447.5,,,E09000005,Brent
Outer London,45-64,No disability,Level 3 and equivalents,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,28.505001974823692,No,150.0,,,E09000006,Bromley
Inner London,25-44,No disability,Level 4 or above,White Other,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,21.107266435986162,Yes,506.25,,,E09000007,Camden
Outer London,65+,No disability,Level 4 or above,Chinese,Female,,,,21.970974221322724,,502.5,,,E09000008,Croydon
Outer London,25-44,No disability,Level 4 or above,Asian (excl. Chinese),Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Hindu,22.09853097274226,No,1110.0,0.0,900.0,E09000009,Ealing
Outer London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,20.54444197504379,No,877.5,,,E09000011,Greenwich
Inner London,25-44,Limiting disability,Level 4 or above,White Other,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,23.889462809917354,No,356.25,,,E09000012,Hackney
Inner London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,21.45706192610355,No,450.0,,,E09000013,Hammersmith and Fulham
Inner London,65+,,Level 4 or above,,Female,NS SEC 1-2: Higher social groups,,,22.65756716573906,,473.75,,,E09000013,Hammersmith and Fulham
Inner London,25-44,Non-limiting disability,Level 4 or above,Black,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,34.1633705292,No,157.5,,,E09000013,Hammersmith and Fulham
Inner London,45-64,No disability,Level 4 or above,White British,Male,NS SEC 3-5: Middle social groups,Heterosexual or Straight,No religion,22.424837586950233,No,300.0,,,E09000014,Haringey
Inner London,25-44,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,No religion,,No,375.0,0.0,420.0,E09000014,Haringey
Outer London,45-64,Non-limiting disability,Level 4 or above,Black,Female,NS SEC 1-2: Higher social groups,,,26.989619377162633,,390.0,,,E09000015,Harrow
Outer London,45-64,Non-limiting disability,Level 4 or above,Black,Male,NS SEC 1-2: Higher social groups,,,33.06676851221333,,450.0,,,E09000015,Harrow
Outer London,45-64,No disability,Level 2 and equivalents,Asian (excl. Chinese),Female,NS SEC 3-5: Middle social groups,,,,,180.0,,,E09000015,Harrow
Outer London,45-64,No disability,Level 2 and equivalents,White British,Male,NS SEC 1-2: Higher social groups,,,28.737121991903077,,750.0,,,E09000016,Havering
Outer London,25-44,No disability,Level 4 or above,Asian (excl. Chinese),Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Hindu,21.062662333394968,No,630.0,225.0,450.0,E09000017,Hillingdon
Outer London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,30.286142926623324,Yes,240.0,,,E09000018,Hounslow
Inner London,25-44,No disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,21.077195227520797,Yes,766.25,,,E09000019,Islington
Inner London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,23.91982675941358,No,405.0,0.0,720.0,E09000019,Islington
Outer London,45-64,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 1-2: Higher social groups,,,26.672763298277697,,350.0,,,E09000021,Kingston upon Thames
Outer London,65+,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,,,23.21044402279401,,982.5,,,E09000021,Kingston upon Thames
Outer London,45-64,No disability,Level 4 or above,,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,25.62673632252743,Yes,5004.75,,,E09000021,Kingston upon Thames
Inner London,16-24,No disability,Level 4 or above,Chinese,Female,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,No religion,18.818924310286427,No,1680.0,,,E09000022,Lambeth
Inner London,16-24,No disability,Level 4 or above,Chinese,Female,NS SEC 9: Students and other / unclassified,Gay or Lesbian,No religion,,No,300.0,,,E09000022,Lambeth
Inner London,45-64,No disability,Level 3 and equivalents,White British,Male,NS SEC 1-2: Higher social groups,,,22.446012398875222,,702.5,,,E09000022,Lambeth
Outer London,16-24,Non-limiting disability,Level 3 and equivalents,Asian (excl. Chinese),Female,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,Sikh,,No,208.25,,,E09000026,Redbridge
Inner London,25-44,Non-limiting disability,Level 4 or above,White British,Female,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,No religion,22.837370242214536,No,1800.0,,,E09000028,Southwark
Inner London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,25.33114385734787,No,540.0,330.0,330.0,E09000032,Wandsworth
Inner London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,,28.759668228349398,No,727.5,,,E09000032,Wandsworth
Inner London,25-44,No disability,Level 4 or above,Chinese,Male,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,21.777553339224845,Yes,442.5,517.5,60.0,E09000032,Wandsworth
Inner London,16-24,No disability,Level 2 and equivalents,White British,Male,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,,23.846227292461542,Yes,4245.0,,,E09000033,Westminster
Inner London,16-24,No disability,Level 3 and equivalents,,Male,NS SEC 9: Students and other / unclassified,Heterosexual or Straight,,23.840752951944445,Yes,2006.25,,,E09000033,Westminster
Inner London,65+,,Level 4 or above,White British,Female,NS SEC 3-5: Middle social groups,Heterosexual or Straight,Christian,24.8560516443247,No,240.0,,,E09000033,Westminster
Inner London,25-44,No disability,Level 4 or above,Chinese,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,20.56457946787461,No,1035.0,,,E09000033,Westminster
Inner London,25-44,,Level 4 or above,White Other,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,Christian,21.258503401360546,No,370.0,,,E09000033,Westminster
Inner London,16-24,,Level 3 and equivalents,White Other,Male,NS SEC 9: Students and other / unclassified,Bisexual,No religion,16.917233234383477,No,180.0,,,E09000001,City of London
Outer London,16-24,No disability,Level 4 or above,White British,Female,NS SEC 3-5: Middle social groups,Bisexual,No religion,35.811914543394245,No,210.0,0.0,420.0,E09000003,Barnet
Outer London,45-64,Non-limiting disability,Level 4 or above,Other ethnic group,Female,NS SEC 1-2: Higher social groups,Heterosexual or Straight,No religion,20.429418362441915,No,435.0,,,E09000003,Barnet
Outer London,25-44,No disability,Level 4 or above,White British,Male,NS SEC 1-2: Higher social groups,,,26.775510204081634,,615.0,,,E09000004,Bexley
Outer London,45-64,Non-limiting disability,Level 4 or above,Black,Male,NS SEC 1-2: Higher social groups,,,,,420.0,,,E09000004,Bexley
