serial,year,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
160290116991681.0,2016/17,0,0,3,1,0,0,1,1,1,2,0,3
160490128184481.0,2016/17,2,0,3,1,0,1,3,1,0,1,1,3
160590037872981.0,2016/17,2,1,0,1,0,0,6,0,0,0,1,3
160590047901581.0,2016/17,2,0,1,1,0,0,3,0,1,4,1,3
160590047901582.0,2016/17,2,1,1,0,0,0,3,1,1,4,0,2
160590057939281.0,2016/17,3,1,3,1,0,0,0,0,2,4,0,3
160590128172381.0,2016/17,1,1,0,1,0,1,1,0,0,3,1,1
160690037849281.0,2016/17,2,1,0,1,1,0,7,0,0,7,2,4
160690108051281.0,2016/17,4,1,0,1,0,0,3,0,0,7,2,2
160690148245081.0,2016/17,1,1,0,1,0,0,3,0,0,3,0,4
160690158286581.0,2016/17,2,0,2,1,0,0,5,0,1,4,1,3
160690158286582.0,2016/17,2,1,2,0,0,0,5,4,1,4,1,3
160690298691982.0,2016/17,1,1,2,1,0,0,8,1,2,4,1,3
160690308714482.0,2016/17,1,1,0,1,0,0,2,0,0,3,0,3
160690318740681.0,2016/17,2,1,0,1,0,0,2,0,0,3,0,4
160690338799481.0,2016/17,0,1,1,1,4,3,2,7,0,0,1,2
160790047888381.0,2016/17,1,1,5,1,0,0,1,2,0,7,0,3
160790067959781.0,2016/17,1,0,3,0,0,0,1,5,0,3,1,2
160790087999881.0,2016/17,3,0,0,1,0,1,2,0,0,0,1,4
160790088006681.0,2016/17,0,1,0,1,0,0,4,6,0,7,1,4
160790108080381.0,2016/17,2,0,2,0,0,0,1,0,3,8,0,4
160790108089181.0,2016/17,1,1,1,1,4,1,5,7,0,3,1,3
160790118140282.0,2016/17,3,0,3,1,0,0,3,0,0,5,0,4
160790198392881.0,2016/17,4,0,0,1,0,0,4,0,0,5,0,3
160790228515582.0,2016/17,2,0,1,1,0,1,3,0,0,3,1,4
160890027604382.0,2016/17,1,0,2,1,0,0,3,2,0,3,1,2
160890047718981.0,2016/17,3,0,2,1,0,0,7,0,1,4,0,1
160890127931282.0,2016/17,3,0,0,1,0,1,1,1,2,4,0,4
160890198123082.0,2016/17,1,1,1,1,1,1,1,1,0,3,0,4
160890258287481.0,2016/17,1,1,1,1,0,3,1,6,1,4,1,3
160890258289582.0,2016/17,6,0,0,1,4,4,1,3,1,8,1,3
160890258291381.0,2016/17,3,0,5,0,0,0,1,0,0,3,3,4
160890298392182.0,2016/17,7,1,0,0,3,4,5,3,0,0,1,3
160990018520082.0,2016/17,1,1,0,1,0,0,8,1,1,4,0,4
160990018530081.0,2016/17,5,0,0,1,0,0,4,0,0,8,4,2
160990038609382.0,2016/17,4,0,0,1,2,1,5,3,0,3,2,4
160990038610381.0,2016/17,3,0,1,1,0,0,7,0,0,2,0,4
160990038610981.0,2016/17,4,1,0,1,1,1,7,0,0,0,0,3
160990038628182.0,2016/17,5,0,0,1,1,0,9,3,0,3,3,4
160990038634882.0,2016/17,1,1,6,1,0,0,1,0,0,1,0,3
160990048658182.0,2016/17,2,0,2,1,0,1,7,0,1,4,1,2
160990048658882.0,2016/17,4,0,0,1,4,3,8,0,0,8,2,4
160990058697782.0,2016/17,5,0,0,1,0,1,4,3,0,0,2,3
160990058700182.0,2016/17,0,1,3,1,4,3,2,6,0,7,0,3
160990068719281.0,2016/17,2,1,0,1,2,1,9,4,2,4,0,4
160990068719282.0,2016/17,2,0,0,1,0,0,9,0,2,4,1,4
160990078751081.0,2016/17,3,1,6,1,0,0,4,0,3,4,1,3
160990078751481.0,2016/17,1,1,1,1,0,0,2,1,0,1,0,3
160990078758081.0,2016/17,1,1,1,1,1,1,0,4,1,4,2,3
160990078764682.0,2016/17,0,0,4,1,0,3,2,6,0,1,0,2
160990088768781.0,2016/17,0,0,6,1,1,3,1,6,0,7,0,3
160990098776981.0,2016/17,3,1,2,1,0,0,0,0,0,6,0,3
160990098785081.0,2016/17,2,1,5,1,0,0,3,0,0,0,0,3
160990098795581.0,2016/17,3,1,2,1,0,0,6,0,1,4,0,4
160990098795582.0,2016/17,3,0,2,1,0,0,6,0,1,4,1,4
160990098798982.0,2016/17,4,1,0,1,0,1,2,3,0,3,1,2
160990098804181.0,2016/17,3,1,0,1,0,0,7,0,0,3,1,3
160990108817981.0,2016/17,2,1,0,1,0,3,5,1,2,4,1,3
160990108817982.0,2016/17,3,0,0,1,0,0,5,0,2,2,0,2
160990108834481.0,2016/17,2,1,1,1,0,1,1,1,0,7,1,2
160990108842681.0,2016/17,4,1,0,1,1,0,2,0,0,2,2,3
160990108871281.0,2016/17,3,1,0,1,4,0,8,7,2,4,2,3
160990108871282.0,2016/17,3,0,0,1,0,0,8,0,2,4,1,3
160990118882181.0,2016/17,4,0,6,1,0,1,1,0,0,5,0,2
160990128913882.0,2016/17,4,1,5,1,0,0,0,1,0,0,1,4
