Classes,LogLik,AIC,BIC,Entropy,Converged,Iterations,MinClass,MaxClass,MeanAssignment,MedianAssignment
10,-1168442.39535322,2338102.79070644,2343801.8916188576,0.9010211236132168,True,121,0.0391423765257959,0.2527580478574288,0.9113552297873986,0.9857557572336302
11,-1166459.9198114346,2334259.839622869,2340529.786439487,0.8915150635515772,True,103,0.0394013339736318,0.2568340037182587,0.898239590117606,0.9776142417918792
12,-1165338.643361236,2332139.286722472,2338980.079443289,0.8661858572660001,True,98,0.0377533905458761,0.1850067181524264,0.8679242841200789,0.9565351783589816
13,-1163435.926643934,2328455.853287868,2335867.491912884,0.8664410827919169,True,266,0.0194429570895608,0.1469554832300838,0.8618064192999585,0.930450546595096
14,-1162797.3197030183,2327300.639406037,2335283.123935253,0.8487509365696915,True,137,0.0194340624045029,0.1446895419743344,0.8390210865642403,0.893268092004257
15,-1160672.8398011914,2323173.6796023827,2331727.010035798,0.8569121479558308,True,138,0.0192590580619242,0.1476722987731296,0.8447323243111385,0.9142837025416276
16,-1159803.7676215349,2321557.5352430698,2330681.711580685,0.8539862484018803,True,133,0.0163516570197812,0.1437421414622372,0.8432434120121995,0.9052171723649888
17,-1159052.9663577497,2320177.9327155,2329872.954957314,0.8552959199505317,True,301,0.0181359830008366,0.142075006720475,0.8343336610546779,0.9091007968045488
18,-1158140.986338772,2318475.972677544,2328741.8408235577,0.8458479065692259,True,287,0.0091761391494779,0.1106692079326056,0.8270597430688507,0.8963376694715754
19,-1157139.0721120893,2316594.1442241785,2327430.858274392,0.8556852565024471,True,346,0.0083265651767217,0.1488923521937612,0.8339139739952457,0.9001558858281707
20,-1156439.211938927,2315316.423877854,2326723.983832266,0.8545299787921752,True,220,0.0083853183766876,0.152975598693826,0.8277137381302749,0.9023986743304652
21,-1156164.9505492118,2314889.901098424,2326868.3069570363,0.8349843435752764,True,209,0.0080754391816133,0.1185924452304475,0.803648542587222,0.8654221402766877
22,-1155245.1804488262,2313172.3608976523,2325721.6126604644,0.8272088897726222,True,262,0.0072855259366911,0.1244823405318285,0.7915954904107492,0.8320043449618423
23,-1154529.6859657224,2311863.371931445,2324983.4695984563,0.8156131595926264,True,340,0.0073760270473913,0.1296526912186649,0.7755663681134488,0.8160308178824142
24,-1154026.2900006447,2310978.580001289,2324669.5235725003,0.8157576912280159,True,228,0.0062932209398136,0.1043195531911692,0.7676230729598025,0.8116380168804205
25,-1153447.9588837628,2309943.9177675257,2324205.707242936,0.8088494211867322,True,153,0.0067815031877466,0.1012215725922657,0.7579877582979475,0.7844833961548893
26,-1153222.823130167,2309615.646260334,2324448.2816399443,0.8020427689806827,True,391,0.0060551937941935,0.095393350106791,0.7501882509795105,0.7745886338717992
27,-1152684.5864533442,2308661.1729066884,2324064.654190498,0.7950947082293476,True,157,0.0072584617907448,0.0874803461845406,0.7411064030669142,0.7650329109707298
28,-1152373.7462553363,2308161.4925106727,2324135.8196986816,0.8016402909574059,True,281,0.0040373991713752,0.0792204424178133,0.7467394880665669,0.7708022530310049
29,-1152089.2818386147,2307714.563677229,2324259.736769438,0.7903927714388856,True,173,0.0068277378119621,0.0897874013478515,0.7308536037380945,0.7335724981351599
30,-1151688.145581001,2307034.291162002,2324150.3101584096,0.7956663800526674,True,232,0.00675386469806865,0.0979113431213117,0.7409450637604487,0.7751556738527612
