Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motivation_PC_Q,motivd_POP
0,2.5%,"35–44 (40%), 45–54 (36%), 25–34 (15%)","Male (91%), Female (9%), Other (0%)","Asian (excl. Chinese) (32%), White British (29%), White Other (20%)","No disability (91%), Disability (9%)","Level 4 or above (37%), Level 3 and equivalents (20%), Level 2 and equivalents (20%)","NS SEC 3–5: Middle social groups (56%), NS SEC 6–8: Lower social groups (23%), NS SEC 1–2: Higher social groups (19%)","Second most deprived decile (24%), Third most deprived decile (17%), Fourth most deprived decile (13%)","Working full time (76%), Working part time (13%), Unemployed (6%)","1 child (44%), 2 children (39%), 3 or more children (17%)","Couple with children (81%), Other/complex household (9%), Lone parent family (5%)","High (23%), Lowest (22%), Highest (20%)","Disagree (41%), Strongly disagree (28%), Neither agree nor disagree (20%)"
1,6.7%,"25–34 (49%), 35–44 (40%), 45–54 (10%)","Female (59%), Male (41%), Other (1%)","White Other (50%), Asian (excl. Chinese) (15%), White British (13%)","No disability (93%), Disability (7%)","Level 4 or above (91%), Another type of qualification (4%), Level 3 and equivalents (3%)","NS SEC 1–2: Higher social groups (79%), NS SEC 3–5: Middle social groups (16%), NS SEC 6–8: Lower social groups (5%)","Second most deprived decile (24%), Third most deprived decile (20%), Fourth most deprived decile (14%)","Working full time (85%), Working part time (7%), Unemployed (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (47%), Single person living alone (33%), Houseshare (15%)","Lowest (25%), Moderate (21%), Low (21%)","Disagree (41%), Strongly disagree (39%), Neither agree nor disagree (13%)"
2,2.0%,"55–64 (35%), 45–54 (27%), 35–44 (16%)","Female (56%), Male (44%), Other (0%)","White British (42%), Asian (excl. Chinese) (20%), Black (14%)","No disability (63%), Disability (37%)","Level 4 or above (39%), Level 2 and equivalents (21%), No qualifications (16%)","NS SEC 6–8: Lower social groups (89%), NS SEC 3–5: Middle social groups (7%), NS SEC 1–2: Higher social groups (3%)","Second most deprived decile (25%), Third most deprived decile (19%), Most deprived decile (15%)","Unemployed (63%), Working part time (20%), Working full time (8%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (46%), Couple, no children (19%), Couple with adult children (11%)","Highest (26%), High (24%), Moderate (22%)","Disagree (43%), Strongly disagree (27%), Neither agree nor disagree (19%)"
3,2.2%,"16–24 (77%), 25–34 (18%), 35–44 (4%)","Female (55%), Male (44%), Other (1%)","White British (37%), Asian (excl. Chinese) (22%), Black (14%)","No disability (86%), Disability (14%)","Level 3 and equivalents (38%), Level 4 or above (35%), Level 2 and equivalents (20%)","NS SEC 6–8: Lower social groups (40%), NS SEC 1–2: Higher social groups (31%), NS SEC 3–5: Middle social groups (27%)","Second most deprived decile (23%), Third most deprived decile (17%), Fourth most deprived decile (14%)","Working part time (36%), Working full time (29%), Unemployed (26%)","None (69%), 1 child (20%), 2 children (8%)","Living with parents (74%), Other/complex household (14%), Houseshare (5%)","Highest (22%), High (22%), Lowest (21%)","Disagree (36%), Strongly disagree (34%), Neither agree nor disagree (16%)"
4,2.5%,"55–64 (65%), 45–54 (30%), 65–74 (3%)","Female (95%), Male (5%), Other (0%)","White British (72%), White Other (11%), Asian (excl. Chinese) (10%)","No disability (88%), Disability (12%)","Level 4 or above (61%), Level 2 and equivalents (20%), Level 3 and equivalents (13%)","NS SEC 1–2: Higher social groups (56%), NS SEC 3–5: Middle social groups (34%), NS SEC 6–8: Lower social groups (7%)","Second least deprived decile (16%), Third least deprived decile (14%), Fourth least deprived decile (13%)","Working part time (66%), Not working-looking after house/children (22%), Not working-retired (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (46%), Couple, no children (29%), Single person living alone (10%)","High (22%), Lowest (22%), Moderate (21%)","Disagree (48%), Strongly disagree (31%), Neither agree nor disagree (16%)"
5,1.8%,"75–84 (69%), 85+ (31%), 65–74 (0%)","Female (64%), Male (35%), Other (0%)","White British (71%), White Other (11%), Asian (excl. Chinese) (8%)","Disability (60%), No disability (40%)","No qualifications (33%), Level 4 or above (29%), Level 2 and equivalents (14%)","Not applicable (75+) (100%), NS SEC 9: Students and other / unclassified (0%), NS SEC 6–8: Lower social groups (0%)","Second most deprived decile (16%), Third most deprived decile (13%), Fifth most deprived decile (13%)","Not working-retired (89%), Other (5%), Not working-long term sick or disabled (3%)","None (97%), 1 child (2%), 2 children (1%)","Single person living alone (56%), Couple, no children (20%), Lone parent family (11%)","Highest (50%), High (23%), Moderate (14%)","Disagree (39%), Strongly disagree (31%), Neither agree nor disagree (23%)"
6,2.6%,"45–54 (44%), 55–64 (39%), 35–44 (14%)","Female (89%), Male (11%), Other (0%)","Black (35%), White British (29%), White Other (16%)","No disability (87%), Disability (13%)","Level 4 or above (70%), Level 3 and equivalents (14%), Level 2 and equivalents (11%)","NS SEC 1–2: Higher social groups (71%), NS SEC 3–5: Middle social groups (22%), NS SEC 9: Students and other / unclassified (5%)","Second most deprived decile (28%), Third most deprived decile (19%), Fourth most deprived decile (15%)","Working full time (71%), Working part time (18%), Other (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (41%), Lone parent family (32%), Couple with adult children (18%)","Lowest (23%), Moderate (23%), High (22%)","Disagree (47%), Strongly disagree (41%), Neither agree nor disagree (7%)"
7,8.8%,"35–44 (51%), 45–54 (33%), 25–34 (10%)","Male (78%), Female (22%), Other (0%)","White British (52%), Asian (excl. Chinese) (20%), White Other (18%)","No disability (97%), Disability (3%)","Level 4 or above (92%), Level 3 and equivalents (5%), Level 2 and equivalents (2%)","NS SEC 1–2: Higher social groups (94%), NS SEC 3–5: Middle social groups (5%), NS SEC 9: Students and other / unclassified (1%)","Fifth most deprived decile (12%), Third most deprived decile (12%), Second least deprived decile (12%)","Working full time (92%), Working part time (4%), Not working-looking after house/children (1%)","2 children (48%), 1 child (43%), 3 or more children (9%)","Couple with children (92%), Lone parent family (4%), Other/complex household (2%)","Lowest (34%), Moderate (20%), Low (19%)","Disagree (44%), Strongly disagree (31%), Neither agree nor disagree (17%)"
8,6.6%,"25–34 (76%), 16–24 (22%), 35–44 (3%)","Female (63%), Male (37%), Other (0%)","White British (66%), White Other (20%), Mixed (6%)","No disability (91%), Disability (9%)","Level 4 or above (93%), Level 3 and equivalents (6%), Level 2 and equivalents (0%)","NS SEC 1–2: Higher social groups (86%), NS SEC 3–5: Middle social groups (12%), NS SEC 6–8: Lower social groups (1%)","Second most deprived decile (19%), Third most deprived decile (18%), Fourth most deprived decile (14%)","Working full time (91%), Working part time (5%), Unemployed (3%)","None (100%), 3 or more children (0%), 2 children (0%)","Houseshare (41%), Couple, no children (33%), Single person living alone (11%)","Lowest (30%), Low (20%), Moderate (19%)","Disagree (42%), Strongly disagree (29%), Neither agree nor disagree (14%)"
9,1.9%,"55–64 (40%), 45–54 (32%), 35–44 (13%)","Female (59%), Male (39%), Other (2%)","White British (62%), White Other (13%), Asian (excl. Chinese) (8%)","Disability (98%), No disability (2%)","Level 4 or above (36%), Level 2 and equivalents (22%), No qualifications (18%)","NS SEC 1–2: Higher social groups (40%), NS SEC 3–5: Middle social groups (31%), NS SEC 6–8: Lower social groups (24%)","Second most deprived decile (26%), Third most deprived decile (20%), Most deprived decile (12%)","Not working-long term sick or disabled (71%), Working part time (9%), Working full time (8%)","None (100%), 2 children (0%), 3 or more children (0%)","Single person living alone (50%), Couple, no children (16%), Lone parent family (12%)","Highest (51%), High (21%), Moderate (13%)","Disagree (36%), Strongly disagree (35%), Neither agree nor disagree (20%)"
10,5.4%,"55–64 (58%), 45–54 (37%), 65–74 (5%)","Male (62%), Female (38%), Other (0%)","White British (68%), Asian (excl. Chinese) (13%), White Other (11%)","No disability (95%), Disability (5%)","Level 4 or above (83%), Level 3 and equivalents (9%), Level 2 and equivalents (6%)","NS SEC 1–2: Higher social groups (89%), NS SEC 3–5: Middle social groups (9%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (16%), Third least deprived decile (13%), Fifth most deprived decile (13%)","Working full time (81%), Working part time (10%), Not working-retired (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (43%), Couple, no children (31%), Single person living alone (16%)","Lowest (32%), Moderate (21%), Low (20%)","Disagree (45%), Strongly disagree (31%), Neither agree nor disagree (18%)"
