lad_name,lad_code,total_pop,asian,black,mixed,white,other,simpsons_index
Hartlepool,E06000001,92338,0.017327644090190386,0.004819251012584201,0.007266780740323594,0.9645866273906734,0.0059996967662284215,0.06916036336543308
Middlesbrough,E06000002,143922,0.10484845958227373,0.026514361946054114,0.020851572379483332,0.8236892205500201,0.024096385542168676,0.30882443321662456
Redcar and Cleveland,E06000003,136530,0.008496301179228009,0.001940965355599502,0.00867941111843551,0.9769867428404013,0.003896579506335604,0.04533043432465178
Stockton-on-Tees,E06000004,196593,0.04604436577090741,0.011205892376635994,0.013922164064844629,0.9203633903546922,0.008464187432919788,0.15042010493046665
Darlington,E06000005,107796,0.027514935619132437,0.006503024230954766,0.013655423206798026,0.943680656054028,0.008645960889086793,0.10840623516051362
Halton,E06000006,128478,0.011177010850106634,0.003977334640950202,0.013940129827674777,0.9649589813041921,0.005946543377076231,0.06848373104023853
Warrington,E06000007,210973,0.0329615638020031,0.00747015020879449,0.015807709991325903,0.9352144587222062,0.008546117275670347,0.12390872854885604
Blackburn with Darwen,E06000008,154741,0.35658293535649893,0.009086150406162556,0.01677641995334139,0.6035375239917022,0.014016970292294867,0.5080305854946789
Blackpool,E06000009,141039,0.026063712873744142,0.005041158828409164,0.015669424769035514,0.9469012117215806,0.006324491807230624,0.102387834759892
"Kingston upon Hull, City of",E06000010,267013,0.028144697074674267,0.018969113863369948,0.016901798788823016,0.9175171246343811,0.01846726563875167,0.1563836640460009
East Riding of Yorkshire,E06000011,342215,0.010771006530981985,0.0026123927940037697,0.009342080271174554,0.9735458702862235,0.0037286501176161187,0.05198442197534636
North East Lincolnshire,E06000012,156967,0.015525556327126084,0.005389667891977295,0.01030152834672256,0.9621767632687125,0.00660648416546153,0.07379601768718458
North Lincolnshire,E06000013,169684,0.03313217510195422,0.004820725584026779,0.010725819759081587,0.9432356615827067,0.008085617972230735,0.10900508586899349
York,E06000014,202821,0.03763910048762209,0.006532854093017982,0.018444835593947374,0.9277490989591808,0.009634110866231801,0.13738920126003973
Derby,E06000015,261364,0.15649056488269233,0.04010498768001714,0.03658499257740163,0.7379401906919086,0.028879264167980288,0.4271740944466986
Leicester,E06000016,368571,0.43404662873639,0.07804737757447004,0.0377105089657081,0.4087597776276484,0.041435707095783446,0.6352885748211377
Rutland,E06000017,41050,0.015444579780755177,0.013447015834348356,0.01812423873325213,0.9478440925700365,0.005140073081607795,0.10081731051968645
Nottingham,E06000018,323635,0.1489857401084555,0.09954114975203547,0.05890277627574274,0.6594774977984458,0.0330928360653205,0.5284195657960431
