lad_name,lad_code,crime_count
Barking and Dagenham,E09000002,498
Barnet,E09000003,537
Bexley,E09000004,495
Brent,E09000005,537
Bromley,E09000006,515
Camden,E09000007,529
Croydon,E09000008,523
Ealing,E09000009,531
Enfield,E09000010,520
Greenwich,E09000011,527
Hackney,E09000012,526
Hammersmith and Fulham,E09000013,517
Haringey,E09000014,529
Harrow,E09000015,495
Havering,E09000016,498
Hillingdon,E09000017,534
Hounslow,E09000018,515
Islington,E09000019,537
Kensington and Chelsea,E09000020,503
Kingston upon Thames,E09000021,467
Lambeth,E09000022,540
Lewisham,E09000023,553
Merton,E09000024,499
Newham,E09000025,553
Redbridge,E09000026,534
Richmond upon Thames,E09000027,475
Southwark,E09000028,537
Sutton,E09000029,478
Tower Hamlets,E09000030,545
Waltham Forest,E09000031,529
Wandsworth,E09000032,523
Westminster,E09000033,547
