lad_code,lad_name,pop_per_km2
,,
E09000001,City of London,2854.4037157869284
E09000002,Barking and Dagenham,6214.914626381317
E09000003,Barnet,4784.427280050652
E09000004,Bexley,4268.804034976966
E09000005,Brent,8067.585606679509
E09000006,Bromley,2281.6015347052034
E09000007,Camden,11982.122413781628
E09000008,Croydon,4698.056908244377
E09000009,Ealing,6803.865850873461
E09000010,Enfield,4329.895654777489
E09000011,Greenwich,6275.4010780484095
E09000012,Hackney,15450.239579191064
E09000013,Hammersmith and Fulham,12282.761231271712
E09000014,Haringey,9916.182256823658
E09000015,Harrow,5260.296586329115
E09000016,Havering,2415.3876879349154
E09000017,Hillingdon,2787.2846227950204
E09000018,Hounslow,5169.1460017301115
E09000019,Islington,16547.398014734947
E09000020,Kensington and Chelsea,13398.6989291417
E09000021,Kingston upon Thames,5003.438431465502
E09000022,Lambeth,12830.345055498809
E09000023,Lewisham,9201.351241933908
E09000024,Merton,5758.498570807324
E09000025,Newham,10221.559577649725
E09000026,Redbridge,5672.167479333245
E09000027,Richmond upon Thames,3571.8948552858346
E09000028,Southwark,11600.915292418938
E09000029,Sutton,4908.616171316333
E09000030,Tower Hamlets,16926.81503458119
E09000031,Waltham Forest,7609.546525283999
E09000032,Wandsworth,10014.747183428053
E09000033,Westminster,12327.232584569818
,,
E13000001,Inner London,11844.830285062166
E13000002,Outer London,4471.3309325888795
,,
E12000007,London,5972.767259026022
,,
,,
Code,Region,Population per square kilometre
E12000001,North East,306.86491473730615
E12000002,North West,509.58841948661035
E12000003,Yorkshire and the Humber,352.05654319263783
E12000004,East Midlands,302.33283574787805
E12000005,West Midlands,446.0797545599554
E12000006,East,321.37242296565375
E12000007,London,5589.738862776909
E12000008,South East,476.15959990962114
E12000009,South West,231.25220192196525
W92000004,Wales,149.81301726705
E92000001,England,424.29148192092543
K04000001,England and Wales,386.5284312188231
