Age9,Educ6,Eth7,Gend3,HHLiv12,IMD10,NSSEC5,WorkStat10,MEMS7_ALL,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,LOG_MEMS7_ALL,active,labels_2d,labels_6d,labels_10d
6.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,1.0,5.0,1.0,3.0,7.0,7.0,4.0,7.0,0.0,False,0,0,0
7.0,5.0,1.0,2.0,1.0,8.0,4.0,5.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,False,3,3,3
4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,6870.0,2.0,5.0,2.0,3.0,8.0,8.0,3.0,10.0,8.835064935031076,True,1,1,1
4.0,1.0,7.0,2.0,6.0,2.0,1.0,1.0,690.0,2.0,4.0,3.0,4.0,6.0,7.0,4.0,8.0,6.53813982376767,True,2,2,2
4.0,1.0,4.0,2.0,3.0,5.0,4.0,8.0,240.0,1.0,5.0,4.0,3.0,9.0,2.0,2.0,10.0,5.484796933490655,True,3,3,3
5.0,1.0,3.0,2.0,6.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,3.0,8.0,7.0,3.0,8.0,0.0,False,2,2,2
3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1080.0,1.0,5.0,3.0,3.0,5.0,6.0,2.0,9.0,6.985641817639208,True,2,2,2
4.0,1.0,3.0,2.0,6.0,5.0,1.0,2.0,318.75,2.0,4.0,2.0,2.0,9.0,9.0,5.0,10.0,5.767539440458952,True,3,3,3
5.0,1.0,3.0,1.0,6.0,5.0,1.0,1.0,1890.0,3.0,5.0,2.0,3.0,9.0,9.0,5.0,9.0,7.544861068658458,True,0,0,0
3.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,5.0,2.0,3.0,8.0,6.0,3.0,6.0,0.0,False,2,2,2
5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,255.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,5.0,5.545177444479562,True,0,0,0
5.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,840.0,1.0,5.0,1.0,3.0,5.0,5.0,2.0,7.0,6.734591659972948,True,1,1,1
6.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0,2.0,3.0,3.0,4.0,8.0,7.0,4.0,7.0,0.0,False,0,0,0
4.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,0.0,False,3,3,3
4.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,45.0,3.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,3.828641396489095,False,3,3,3
4.0,1.0,3.0,2.0,1.0,9.0,1.0,9.0,900.0,2.0,4.0,2.0,4.0,9.0,9.0,4.0,10.0,6.803505257608338,True,2,2,2
4.0,1.0,7.0,2.0,6.0,4.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,10.0,9.0,3.0,9.0,0.0,False,3,3,3
3.0,1.0,1.0,2.0,6.0,1.0,4.0,8.0,420.0,2.0,3.0,2.0,2.0,6.0,5.0,3.0,7.0,6.042632833682381,True,3,3,3
7.0,1.0,1.0,2.0,1.0,7.0,1.0,5.0,22.5,4.0,4.0,3.0,4.0,8.0,8.0,3.0,9.0,3.1570004211501135,False,3,3,3
4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,720.0,1.0,3.0,4.0,2.0,7.0,7.0,2.0,8.0,6.580639137284949,True,0,0,0
2.0,1.0,2.0,2.0,1.0,2.0,4.0,8.0,0.0,2.0,3.0,2.0,3.0,7.0,8.0,2.0,7.0,0.0,False,3,3,3
7.0,3.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,3.0,4.0,3.0,4.0,7.0,5.0,3.0,4.0,0.0,False,3,3,3
3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,660.0,2.0,4.0,3.0,3.0,6.0,6.0,4.0,5.0,6.493753839851686,True,0,0,0
3.0,1.0,5.0,1.0,6.0,10.0,1.0,1.0,577.5,1.0,5.0,2.0,4.0,8.0,8.0,3.0,7.0,6.360438546633731,True,0,0,0
2.0,1.0,1.0,2.0,10.0,9.0,2.0,1.0,420.0,5.0,5.0,5.0,3.0,8.0,8.0,3.0,10.0,6.042632833682381,True,1,1,1
5.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,2130.0,1.0,3.0,1.0,2.0,10.0,8.0,5.0,8.0,7.664346632098617,True,3,3,3
6.0,1.0,2.0,1.0,1.0,9.0,1.0,5.0,520.0,2.0,5.0,3.0,3.0,8.0,8.0,5.0,8.0,6.255750041753367,True,0,0,0
6.0,2.0,1.0,1.0,6.0,4.0,1.0,1.0,975.0,1.0,5.0,2.0,4.0,6.0,7.0,4.0,8.0,6.883462586413092,True,0,0,0
5.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,480.0,2.0,4.0,3.0,4.0,9.0,7.0,4.0,7.0,6.175867270105761,True,0,0,0
5.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,450.0,4.0,4.0,3.0,2.0,6.0,6.0,4.0,6.0,6.111467339502679,True,2,2,2
4.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,1020.0,1.0,3.0,2.0,3.0,5.0,5.0,4.0,6.0,6.928537818164665,True,0,0,0
4.0,1.0,3.0,2.0,6.0,4.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,8.0,0.0,False,2,2,2
2.0,1.0,3.0,2.0,10.0,6.0,4.0,8.0,4080.0,1.0,1.0,1.0,4.0,7.0,8.0,3.0,8.0,8.314097335405807,True,3,3,3
6.0,1.0,3.0,2.0,7.0,6.0,1.0,2.0,2850.0,1.0,1.0,1.0,3.0,8.0,9.0,2.0,5.0,7.955425088912672,True,3,3,3
4.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,655.0,2.0,4.0,1.0,4.0,7.0,8.0,4.0,9.0,6.486160788944089,True,0,0,0
5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3090.0,1.0,3.0,2.0,4.0,6.0,6.0,2.0,6.0,8.036249942132116,True,0,0,0
4.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,7.0,6.0,4.0,5.0,0.0,False,0,0,0
