Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
5.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165719345434778,0.6742034154031524,-0.042368519140325356,0.7165719345434778,0.6974608131433091,-0.019111121400168685,0.7165719345434778,0.7246802622601506,0.008108327716672803,0.7165719345434778,0.7257492741504642,0.009177339606986412,0.7165719345434778,0.7018026986735629,-0.014769235869914854,0.7165719345434778,0.7159747941464317,-0.0005971403970460587
5.0,1.0,8.0,1.0,3.0,5.0,2.0,3.0,6.0,8.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6103742355189068,0.5618377766019216,-0.048536458916985215,0.6103742355189068,0.5882173356976387,-0.022156899821268117,0.6103742355189068,0.6199091705128704,0.009534934993963629,0.6103742355189068,0.6211723296605921,0.01079809414168531,0.6103742355189068,0.5932126191928405,-0.017161616326066276,0.6103742355189068,0.6096752276201408,-0.0006990078987659798
3.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,10.0,10.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8185457899414239,0.7868873789542391,-0.031658410987184804,0.8185457899414239,0.8044340360554241,-0.014111753885999834,,,,,,,0.8185457899414239,0.8076640599194976,-0.010881730021926272,0.8185457899414239,0.8181089583245555,-0.0004368316168683606
6.0,1.0,6.0,4.0,2.0,5.0,2.0,3.0,9.0,9.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6203749456251347,0.5722111538373746,-0.04816379178776009,0.6203749456251347,0.5984125813842522,-0.021962364240882493,0.6203749456251347,0.6298135741022568,0.009438628477122069,0.6203749456251347,0.6310634073294343,0.010688461704299601,,,,0.6203749456251347,0.6196827001814248,-0.0006922454437099379
3.0,1.0,7.0,1.0,1.0,2.0,2.0,3.0,7.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8829953358050587,0.8606674282123241,-0.02232790759273462,0.8829953358050587,0.8731189039228326,-0.009876431882226089,0.8829953358050587,0.8870927911818547,0.004097455376795955,0.8829953358050587,0.8876289725506848,0.004633636745626113,0.8829953358050587,0.8753902343530734,-0.007605101451985341,0.8829953358050587,0.8826914237352893,-0.00030391206976942975
4.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0,8.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8056945438190158,0.7724173643874856,-0.03327717943153019,0.8056945438190158,0.7908387305039326,-0.014855813315083233,0.8056945438190158,0.8119224426644656,0.00622789884544972,0.8056945438190158,0.8127402430645221,0.007045699245506243,0.8056945438190158,0.7942358628197709,-0.011458680999244963,0.8056945438190158,0.8052341356295132,-0.00046040818950265905
4.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,8.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846104296116046,0.8181860550057125,-0.027918241110333475,0.846104296116046,0.8337003467298186,-0.012403949386227353,0.846104296116046,0.8512760628215212,0.005171766705475256,0.846104296116046,0.8519539471155384,0.005849650999492417,0.846104296116046,0.8365452169849056,-0.009559079131140402,0.846104296116046,0.8457213041764363,-0.00038299193960966704
5.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,9.0,9.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6202776524710873,0.5721100307547622,-0.04816762171632516,0.6202776524710873,0.5983133040655733,-0.02196434840551409,0.6202776524710873,0.629717256122419,0.009439603651331674,0.6202776524710873,0.6309672239984114,0.010689571527324082,,,,0.6202776524710873,0.619585338403913,-0.0006923140671742933
5.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36426610845006735,0.3192638240471439,-0.045002284402923476,0.36426610845006735,0.3431743087102167,-0.021091799739850647,0.36426610845006735,0.3736433395179878,0.009377231067920433,0.36426610845006735,0.37489964515291385,0.010633536702846502,0.36426610845006735,0.3478464875069742,-0.016419620943093127,0.36426610845006735,0.36358593714100645,-0.0006801713090608952
5.0,1.0,7.0,1.0,1.0,4.0,3.0,4.0,8.0,8.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020724394569325,0.7683532825610311,-0.033719156895901436,0.8020724394569325,0.7870129020656877,-0.01505953739124477,0.8020724394569325,0.8083888242743795,0.006316384817447007,0.8020724394569325,0.8092183792111205,0.00714593975418798,,,,0.8020724394569325,0.8016055620471754,-0.0004668774097571493
