Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Child4,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_1.0,Gend3_2.0,Gend3_3.0,Eth7_1.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,WorkStat8_0.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_0.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_C0_Motiva_POP,PREDS_C1_Motiva_POP,PREDS_C2_Motiva_POP,PERTURBED_PREDS_C0_Motiva_POP,PERTURBED_PREDS_C1_Motiva_POP,PERTURBED_PREDS_C2_Motiva_POP,DIFFERENCE_C0_Motiva_POP,DIFFERENCE_C1_Motiva_POP,DIFFERENCE_C2_Motiva_POP,PREDS_C0_motivd_POP,PREDS_C1_motivd_POP,PREDS_C2_motivd_POP,PERTURBED_PREDS_C0_motivd_POP,PERTURBED_PREDS_C1_motivd_POP,PERTURBED_PREDS_C2_motivd_POP,DIFFERENCE_C0_motivd_POP,DIFFERENCE_C1_motivd_POP,DIFFERENCE_C2_motivd_POP,PREDS_C0_indev,PREDS_C1_indev,PREDS_C2_indev,PERTURBED_PREDS_C0_indev,PERTURBED_PREDS_C1_indev,PERTURBED_PREDS_C2_indev,DIFFERENCE_C0_indev,DIFFERENCE_C1_indev,DIFFERENCE_C2_indev,PREDS_C0_indevtry,PREDS_C1_indevtry,PREDS_C2_indevtry,PERTURBED_PREDS_C0_indevtry,PERTURBED_PREDS_C1_indevtry,PERTURBED_PREDS_C2_indevtry,DIFFERENCE_C0_indevtry,DIFFERENCE_C1_indevtry,DIFFERENCE_C2_indevtry,PREDS_C0_inclus_a,PREDS_C1_inclus_a,PREDS_C2_inclus_a,PERTURBED_PREDS_C0_inclus_a,PERTURBED_PREDS_C1_inclus_a,PERTURBED_PREDS_C2_inclus_a,DIFFERENCE_C0_inclus_a,DIFFERENCE_C1_inclus_a,DIFFERENCE_C2_inclus_a,PREDS_C0_inclus_b,PREDS_C1_inclus_b,PREDS_C2_inclus_b,PERTURBED_PREDS_C0_inclus_b,PERTURBED_PREDS_C1_inclus_b,PERTURBED_PREDS_C2_inclus_b,DIFFERENCE_C0_inclus_b,DIFFERENCE_C1_inclus_b,DIFFERENCE_C2_inclus_b,PREDS_C0_inclus_c,PREDS_C1_inclus_c,PREDS_C2_inclus_c,PERTURBED_PREDS_C0_inclus_c,PERTURBED_PREDS_C1_inclus_c,PERTURBED_PREDS_C2_inclus_c,DIFFERENCE_C0_inclus_c,DIFFERENCE_C1_inclus_c,DIFFERENCE_C2_inclus_c,PREDS_C0_comm1,PREDS_C1_comm1,PREDS_C2_comm1,PERTURBED_PREDS_C0_comm1,PERTURBED_PREDS_C1_comm1,PERTURBED_PREDS_C2_comm1,DIFFERENCE_C0_comm1,DIFFERENCE_C1_comm1,DIFFERENCE_C2_comm1,PREDS_C0_comm2,PREDS_C1_comm2,PREDS_C2_comm2,PERTURBED_PREDS_C0_comm2,PERTURBED_PREDS_C1_comm2,PERTURBED_PREDS_C2_comm2,DIFFERENCE_C0_comm2,DIFFERENCE_C1_comm2,DIFFERENCE_C2_comm2,PREDS_C0_anxious,PREDS_C1_anxious,PREDS_C2_anxious,PERTURBED_PREDS_C0_anxious,PERTURBED_PREDS_C1_anxious,PERTURBED_PREDS_C2_anxious,DIFFERENCE_C0_anxious,DIFFERENCE_C1_anxious,DIFFERENCE_C2_anxious,PREDS_C0_happy,PREDS_C1_happy,PREDS_C2_happy,PERTURBED_PREDS_C0_happy,PERTURBED_PREDS_C1_happy,PERTURBED_PREDS_C2_happy,DIFFERENCE_C0_happy,DIFFERENCE_C1_happy,DIFFERENCE_C2_happy,PREDS_C0_lone,PREDS_C1_lone,PREDS_C2_lone,PERTURBED_PREDS_C0_lone,PERTURBED_PREDS_C1_lone,PERTURBED_PREDS_C2_lone,DIFFERENCE_C0_lone,DIFFERENCE_C1_lone,DIFFERENCE_C2_lone,PREDS_C0_worthw,PREDS_C1_worthw,PREDS_C2_worthw,PERTURBED_PREDS_C0_worthw,PERTURBED_PREDS_C1_worthw,PERTURBED_PREDS_C2_worthw,DIFFERENCE_C0_worthw,DIFFERENCE_C1_worthw,DIFFERENCE_C2_worthw,labels
6.0,1.0,1.0,1.0,10.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.03583182,0.019636435,0.9445317,0.03583182,0.019636435,0.9445317,0.0,0.0,0.0,0.03583182,0.019636435,0.9445317,0.03583182,0.019636435,0.9445317,0.0,0.0,0.0,0.03583182,0.019636435,0.9445317,0.03583182,0.019636435,0.9445317,0.0,0.0,0.0,0.03583182,0.019636435,0.9445317,0.04739018,0.016413767,0.9361961,0.011558361,-0.0032226685,-0.00833559,0.03583182,0.019636435,0.9445317,0.031408463,0.012233336,0.9563582,-0.0044233575,-0.007403099,0.011826515,0.03583182,0.019636435,0.9445317,0.01918474,0.008790327,0.9720249,-0.01664708,-0.010846108,0.027493238,0.03583182,0.019636435,0.9445317,0.03583182,0.019636435,0.9445317,0.0,0.0,0.0,0.03583182,0.019636435,0.9445317,0.03583182,0.019636435,0.9445317,0.0,0.0,0.0,0.03583182,0.019636435,0.9445317,0.037997514,0.011116652,0.9508858,0.0021656938,-0.008519784,0.0063540936,0.03583182,0.019636435,0.9445317,0.043270357,0.03465459,0.92207503,0.0074385367,0.015018156,-0.022456646,,,,,,,,,,0.03583182,0.019636435,0.9445317,0.033038888,0.049150176,0.9178109,-0.002792932,0.02951374,-0.026720762,10.0
6.0,1.0,1.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.064672105,0.02621473,0.90911317,0.06389003,0.027013764,0.9090962,-0.00078207254,0.0007990338,-1.6987324e-05,,,,,,,,,,0.064672105,0.02621473,0.90911317,0.064672105,0.02621473,0.90911317,0.0,0.0,0.0,0.064672105,0.02621473,0.90911317,0.064672105,0.02621473,0.90911317,0.0,0.0,0.0,0.064672105,0.02621473,0.90911317,0.09298367,0.040434718,0.8665816,0.028311566,0.014219988,-0.04253155,0.064672105,0.02621473,0.90911317,0.051896628,0.019008672,0.9290947,-0.012775477,-0.007206058,0.019981503,0.064672105,0.02621473,0.90911317,0.047020897,0.01943916,0.9335399,-0.017651208,-0.006775569,0.024426758,0.064672105,0.02621473,0.90911317,0.064672105,0.02621473,0.90911317,0.0,0.0,0.0,0.064672105,0.02621473,0.90911317,0.064672105,0.02621473,0.90911317,0.0,0.0,0.0,0.064672105,0.02621473,0.90911317,0.0914024,0.042496882,0.8661007,0.026730292,0.016282152,-0.04301244,0.064672105,0.02621473,0.90911317,0.061414793,0.01530899,0.92327625,-0.0032573119,-0.01090574,0.014163077,0.064672105,0.02621473,0.90911317,0.08132092,0.06063591,0.8580432,0.016648814,0.03442118,-0.051069975,0.064672105,0.02621473,0.90911317,0.028447779,0.02245917,0.94909304,-0.036224328,-0.0037555601,0.039979875,10.0
6.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.5429849,0.01577358,0.4412415,0.5429849,0.01577358,0.4412415,0.0,0.0,0.0,0.5429849,0.01577358,0.4412415,0.5429849,0.01577358,0.4412415,0.0,0.0,0.0,0.5429849,0.01577358,0.4412415,0.5429849,0.01577358,0.4412415,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5429849,0.01577358,0.4412415,0.5429849,0.01577358,0.4412415,0.0,0.0,0.0,0.5429849,0.01577358,0.4412415,0.5429849,0.01577358,0.4412415,0.0,0.0,0.0,,,,,,,,,,0.5429849,0.01577358,0.4412415,0.22971477,0.01453361,0.7557516,-0.31327015,-0.0012399694,0.3145101,,,,,,,,,,0.5429849,0.01577358,0.4412415,0.60523236,0.011792477,0.38297513,0.062247455,-0.0039811023,-0.05826637,10.0
6.0,1.0,1.0,1.0,8.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14453584,0.20611173,0.64935243,0.10363726,0.22967961,0.66668314,-0.040898576,0.023567885,0.017330706,0.14453584,0.20611173,0.64935243,0.14453584,0.20611173,0.64935243,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.14453584,0.20611173,0.64935243,0.16013286,0.21990357,0.6199636,0.015597016,0.013791844,-0.029388845,0.14453584,0.20611173,0.64935243,0.10271892,0.115522906,0.7817582,-0.04181692,-0.09058882,0.13240576,0.14453584,0.20611173,0.64935243,0.06620018,0.17936213,0.7544377,-0.07833566,-0.026749596,0.10508525,0.14453584,0.20611173,0.64935243,0.14453584,0.20611173,0.64935243,0.0,0.0,0.0,0.14453584,0.20611173,0.64935243,0.14453584,0.20611173,0.64935243,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.14453584,0.20611173,0.64935243,0.10512625,0.30486122,0.5900125,-0.039409593,0.09874949,-0.05933994,0.14453584,0.20611173,0.64935243,0.22355972,0.29580408,0.48063627,0.07902388,0.089692354,-0.16871616,6.0
4.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.018438296,0.009832111,0.9717296,0.018438296,0.009832111,0.9717296,0.0,0.0,0.0,0.018438296,0.009832111,0.9717296,0.018438296,0.009832111,0.9717296,0.0,0.0,0.0,0.018438296,0.009832111,0.9717296,0.018438296,0.009832111,0.9717296,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018438296,0.009832111,0.9717296,0.018438296,0.009832111,0.9717296,0.0,0.0,0.0,0.018438296,0.009832111,0.9717296,0.018438296,0.009832111,0.9717296,0.0,0.0,0.0,0.018438296,0.009832111,0.9717296,0.015691483,0.0048987647,0.9794097,-0.002746813,-0.0049333465,0.007680118,0.018438296,0.009832111,0.9717296,0.012757157,0.009750374,0.9774925,-0.0056811394,-8.1737526e-05,0.0057629347,0.018438296,0.009832111,0.9717296,0.013158149,0.0060580866,0.98078376,-0.0052801473,-0.0037740245,0.009054184,0.018438296,0.009832111,0.9717296,0.021012643,0.00780283,0.9711845,0.002574347,-0.002029281,-0.0005450845,20.0
5.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64355785,0.06644204,0.29000008,0.6479635,0.061218325,0.2908181,0.0044056773,-0.0052237175,0.00081801414,0.64355785,0.06644204,0.29000008,0.64355785,0.06644204,0.29000008,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.64355785,0.06644204,0.29000008,0.7547679,0.06517103,0.18006112,0.11121005,-0.0012710094,-0.109938964,,,,,,,,,,,,,,,,,,,0.64355785,0.06644204,0.29000008,0.64355785,0.06644204,0.29000008,0.0,0.0,0.0,,,,,,,,,,0.64355785,0.06644204,0.29000008,0.710976,0.060322687,0.22870132,0.06741816,-0.0061193556,-0.061298758,0.64355785,0.06644204,0.29000008,0.56909925,0.07588052,0.35502023,-0.0744586,0.009438477,0.065020144,,,,,,,,,,0.64355785,0.06644204,0.29000008,0.47999513,0.12659231,0.39341253,-0.16356272,0.060150266,0.10341245,22.0
5.0,1.0,1.0,1.0,10.0,1.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.074538164,0.0860431,0.83941877,-0.0204444,0.0012040436,0.01924038,,,,,,,,,,0.094982564,0.08483905,0.8201784,0.094982564,0.08483905,0.8201784,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.094982564,0.08483905,0.8201784,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.10520251,0.09384998,0.8009475,0.0102199465,0.009010926,-0.019230902,0.094982564,0.08483905,0.8201784,0.06848083,0.06032747,0.8711917,-0.026501738,-0.024511583,0.05101329,0.094982564,0.08483905,0.8201784,0.07049899,0.12292089,0.80658007,-0.024483576,0.03808184,-0.013598323,0.094982564,0.08483905,0.8201784,0.094982564,0.08483905,0.8201784,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.094982564,0.08483905,0.8201784,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.13551156,0.1585355,0.70595294,0.040528998,0.07369644,-0.11422545,0.094982564,0.08483905,0.8201784,0.094982564,0.08483905,0.8201784,0.0,0.0,0.0,0.094982564,0.08483905,0.8201784,0.09907675,0.07298322,0.82794005,0.0040941834,-0.011855833,0.0077616572,0.094982564,0.08483905,0.8201784,0.047525533,0.08022856,0.8722459,-0.047457032,-0.004610494,0.05206752,10.0
4.0,1.0,1.0,1.0,7.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.02055843,0.15047666,0.82896495,0.02055843,0.15047666,0.82896495,0.0,0.0,0.0,0.02055843,0.15047666,0.82896495,0.02055843,0.15047666,0.82896495,0.0,0.0,0.0,0.02055843,0.15047666,0.82896495,0.022705054,0.15485436,0.8224406,0.002146624,0.004377693,-0.0065243244,0.02055843,0.15047666,0.82896495,0.012515201,0.076545,0.9109398,-0.008043229,-0.073931664,0.081974864,0.02055843,0.15047666,0.82896495,0.0108926045,0.07144559,0.9176618,-0.009665825,-0.07903107,0.08869684,0.02055843,0.15047666,0.82896495,0.02055843,0.15047666,0.82896495,0.0,0.0,0.0,0.02055843,0.15047666,0.82896495,0.02055843,0.15047666,0.82896495,0.0,0.0,0.0,0.02055843,0.15047666,0.82896495,0.02506849,0.24668524,0.7282462,0.00451006,0.09620857,-0.10071874,0.02055843,0.15047666,0.82896495,0.022545632,0.10259057,0.8748638,0.001987202,-0.047886096,0.045898855,0.02055843,0.15047666,0.82896495,0.027007151,0.14296874,0.8300241,0.0064487215,-0.0075079203,0.0010591745,0.02055843,0.15047666,0.82896495,0.014328142,0.27112272,0.7145492,-0.006230288,0.12064606,-0.114415765,22.0
3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.0959343,0.105455376,0.7986103,-0.32482442,-0.03546115,0.36028558,0.42075872,0.14091653,0.43832475,0.42075872,0.14091653,0.43832475,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.42075872,0.14091653,0.43832475,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.42075872,0.14091653,0.43832475,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.33879092,0.2573369,0.4038721,-0.0819678,0.11642039,-0.034452647,0.42075872,0.14091653,0.43832475,0.47137418,0.07695525,0.45167056,0.05061546,-0.063961275,0.013345808,0.42075872,0.14091653,0.43832475,0.3273915,0.1994444,0.47316414,-0.09336722,0.058527872,0.03483939,0.42075872,0.14091653,0.43832475,0.42075872,0.14091653,0.43832475,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.42075872,0.14091653,0.43832475,0.0,0.0,0.0,0.42075872,0.14091653,0.43832475,0.56590503,0.23878658,0.19530842,0.14514631,0.09787005,-0.24301633,0.42075872,0.14091653,0.43832475,0.4240685,0.20357053,0.37236094,0.0033097863,0.062654,-0.065963805,0.42075872,0.14091653,0.43832475,0.55769515,0.04809554,0.39420933,0.13693643,-0.09282099,-0.044115424,0.42075872,0.14091653,0.43832475,0.30680138,0.12776206,0.56543654,-0.113957345,-0.013154462,0.1271118,8.0
3.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.3930978,0.19108006,0.41582215,0.3930978,0.19108006,0.41582215,0.0,0.0,0.0,0.3930978,0.19108006,0.41582215,0.3930978,0.19108006,0.41582215,0.0,0.0,0.0,0.3930978,0.19108006,0.41582215,0.3930978,0.19108006,0.41582215,0.0,0.0,0.0,,,,,,,,,,0.3930978,0.19108006,0.41582215,0.4612477,0.1780579,0.36069444,0.068149924,-0.0130221695,-0.05512771,0.3930978,0.19108006,0.41582215,0.31060424,0.2303224,0.4590733,-0.08249354,0.039242342,0.043251157,0.3930978,0.19108006,0.41582215,0.3930978,0.19108006,0.41582215,0.0,0.0,0.0,0.3930978,0.19108006,0.41582215,0.3930978,0.19108006,0.41582215,0.0,0.0,0.0,0.3930978,0.19108006,0.41582215,0.58109134,0.09943142,0.31947726,0.18799356,-0.091648646,-0.09634489,0.3930978,0.19108006,0.41582215,0.40147284,0.21323644,0.38529074,0.008375049,0.022156373,-0.030531406,0.3930978,0.19108006,0.41582215,0.49601308,0.118406095,0.38558084,0.10291529,-0.07267397,-0.03024131,0.3930978,0.19108006,0.41582215,0.27894378,0.2504579,0.47059828,-0.11415401,0.05937785,0.054776132,22.0
