Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
1,0,2,0,4,2,2,2,0,3,1.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,10.0,4.0,4.0,5.0,10.0,,,,0.33880937,0.50373155,0.16492218,0.33880937,0.33880937,0.0,0.33880937,0.33880937,0.0,0.33880937,0.42269143,0.08388206,0.33880937,0.2787776,-0.06003177,0.33880937,0.4855882,0.14677882,0.33880937,0.33880937,0.0,0.33880937,0.33880937,0.0,,,,,,,,,,,,,13
4,1,2,0,4,0,7,5,0,5,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,10.0,3.0,4.0,4.0,10.0,,,,0.14239845,0.27361327,0.13121483,0.14239845,0.14239845,0.0,0.14239845,0.14239845,0.0,0.14239845,0.2614934,0.11909497,0.14239845,0.082782716,-0.05961573,0.14239845,0.32610393,0.18370548,0.14239845,0.14239845,0.0,0.14239845,0.14239845,0.0,0.14239845,0.45238146,0.30998302,,,,0.14239845,0.15000854,0.0076100975,,,,12
5,0,0,0,0,0,6,3,0,3,2.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,7.0,4.0,4.0,4.0,9.0,0.9040341,0.9519055,0.04787141,0.9040341,0.9294478,0.025413752,0.9040341,0.9040341,0.0,0.9040341,0.9040341,0.0,,,,0.9040341,0.936218,0.032183945,0.9040341,0.96476007,0.060725987,0.9040341,0.9040341,0.0,0.9040341,0.9040341,0.0,0.9040341,0.50225043,-0.40178365,0.9040341,0.91074437,0.006710291,0.9040341,0.9091029,0.0050688386,0.9040341,0.970761,0.06672692,7
3,0,3,0,0,2,3,0,0,0,3.0,3.0,2.0,2.0,1.0,7.0,3.0,3.0,8.0,4.0,4.0,4.0,7.0,0.12806128,0.69614524,0.56808394,0.12806128,0.3880425,0.25998122,0.12806128,0.12806128,0.0,0.12806128,0.12806128,0.0,0.12806128,0.09919714,-0.028864138,0.12806128,0.11068292,-0.01737836,,,,0.12806128,0.12806128,0.0,0.12806128,0.12806128,0.0,0.12806128,0.22657613,0.098514855,0.12806128,0.1881699,0.060108617,0.12806128,0.16212253,0.034061253,0.12806128,0.10017018,-0.0278911,14
1,1,5,0,1,0,3,0,0,1,1.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,4.0,4.0,4.0,5.0,,,,,,,0.98776394,0.98776394,0.0,0.98776394,0.98776394,0.0,0.98776394,0.993871,0.0061070323,0.98776394,0.9929611,0.0051971674,0.98776394,0.98966485,0.0019009113,0.98776394,0.98776394,0.0,0.98776394,0.98776394,0.0,0.98776394,0.98916364,0.0013996959,0.98776394,0.99355894,0.005795002,0.98776394,0.98839885,0.0006349087,0.98776394,0.9924078,0.0046438575,11
0,1,6,0,2,2,7,1,0,7,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,7.0,3.0,3.0,3.0,5.0,,,,0.64856243,0.6899764,0.041413963,0.64856243,0.64856243,0.0,0.64856243,0.64856243,0.0,0.64856243,0.6617916,0.013229191,0.64856243,0.75162214,0.10305971,0.64856243,0.6604448,0.011882365,0.64856243,0.64856243,0.0,0.64856243,0.64856243,0.0,0.64856243,0.6032298,-0.04533261,0.64856243,0.46027306,-0.18828937,0.64856243,0.63144994,-0.017112494,0.64856243,0.7078319,0.059269488,25
2,1,0,0,0,1,4,0,0,0,5.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,0.056660935,0.056660935,0.0,,,,0.056660935,0.056660935,0.0,0.056660935,0.056660935,0.0,,,,0.056660935,0.27986747,0.22320653,,,,0.056660935,0.056660935,0.0,0.056660935,0.056660935,0.0,0.056660935,0.07171779,0.015056856,0.056660935,0.045071065,-0.01158987,0.056660935,0.16436797,0.10770704,0.056660935,0.051611647,-0.0050492883,15
0,1,2,0,5,3,6,6,0,7,1.0,4.0,1.0,1.0,1.0,6.0,3.0,3.0,6.0,3.0,3.0,2.0,6.0,,,,0.9858521,0.9847609,-0.0010912418,0.9858521,0.9858521,0.0,0.9858521,0.9858521,0.0,,,,,,,,,,0.9858521,0.9858521,0.0,0.9858521,0.9858521,0.0,0.9858521,0.957596,-0.028256118,0.9858521,0.97599846,-0.009853661,0.9858521,0.9843284,-0.0015237331,0.9858521,0.9958824,0.01003027,21
1,1,1,0,0,0,1,0,0,1,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,7.0,4.0,3.0,3.0,7.0,,,,0.9942673,0.99382824,-0.0004390478,0.9942673,0.9942673,0.0,0.9942673,0.9942673,0.0,0.9942673,0.9951916,0.0009242892,0.9942673,0.9948573,0.0005900264,0.9942673,0.9920637,-0.0022035837,0.9942673,0.9942673,0.0,0.9942673,0.9942673,0.0,0.9942673,0.9950932,0.00082594156,0.9942673,0.9941942,-7.3075294e-05,0.9942673,0.9919774,-0.0022898912,0.9942673,0.98572737,-0.008539915,11
4,0,0,0,0,0,4,1,0,0,2.0,5.0,3.0,2.0,2.0,7.0,4.0,4.0,8.0,4.0,4.0,3.0,8.0,0.9550464,0.9812275,0.026181102,,,,0.9550464,0.9550464,0.0,0.9550464,0.9550464,0.0,0.9550464,0.9825392,0.027492762,0.9550464,0.96280885,0.007762432,0.9550464,0.97771966,0.02267325,0.9550464,0.9550464,0.0,,,,0.9550464,0.903425,-0.051621437,0.9550464,0.8760899,-0.078956544,0.9550464,0.9504976,-0.004548788,0.9550464,0.9816844,0.026637971,15
