Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
1,0,2,0,4,2,2,2,0,3,1.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,10.0,4.0,4.0,5.0,10.0,,,,0.35782881334351924,0.4197335752482812,0.06190476190476196,0.35782881334351924,0.36734148204736444,0.009512668703845206,0.35782881334351924,0.35894926152279094,0.0011204481792717047,0.35782881334351924,0.377790836614366,0.019962023270846785,0.35782881334351924,0.4214726041931925,0.06364379084967325,0.35782881334351924,0.42549566446625287,0.06766685112273363,0.35782881334351924,0.3646915584415585,0.006862745098039247,0.35782881334351924,0.35871530430353954,0.000886490960020303,,,,,,,,,,,,,13
4,1,2,0,4,0,7,5,0,5,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,10.0,3.0,4.0,4.0,10.0,,,,0.5053046218487394,0.5339985994397759,0.028693977591036535,0.5053046218487394,0.4758636788048552,-0.02944094304388417,0.5053046218487394,0.5075105042016806,0.0022058823529412797,0.5053046218487394,0.5012575863678803,-0.004047035480859051,0.5053046218487394,0.4198120915032679,-0.08549253034547144,0.5053046218487394,0.5699929971988794,0.06468837535014005,0.5053046218487394,0.49862278244631186,-0.006681839402427503,0.5053046218487394,0.5451797385620915,0.03987511671335209,0.5053046218487394,0.5130846277905101,0.007780005941770751,,,,0.5053046218487394,0.5031804388422035,-0.002124183006535829,,,,12
5,0,0,0,0,0,6,3,0,3,2.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,7.0,4.0,4.0,4.0,9.0,0.6721208938120702,0.7629080478345184,0.09078715402244819,0.6721208938120702,0.6534350861556742,-0.018685807656395936,0.6721208938120702,0.6772679526355997,0.0051470588235295045,0.6721208938120702,0.6784350861556743,0.006314192343604086,,,,0.6721208938120702,0.7051624437653848,0.03304154995331465,0.6721208938120702,0.816915478312537,0.14479458450046678,0.6721208938120702,0.6691271963330787,-0.002993697478991475,0.6721208938120702,0.6263846447669976,-0.04573624904507256,0.6721208938120702,0.45564580795982185,-0.21647508585224834,0.6721208938120702,0.6724673202614379,0.000346426449367665,0.6721208938120702,0.6529968805704098,-0.019124013241660354,0.6721208938120702,0.7023602622867328,0.030239368474662576,7
3,0,3,0,0,2,3,0,0,0,3.0,3.0,2.0,2.0,1.0,7.0,3.0,3.0,8.0,4.0,4.0,4.0,7.0,0.4786681455799102,0.5445183492977611,0.06585020371785089,0.4786681455799102,0.5179319455054748,0.03926379992556461,0.4786681455799102,0.47165457091927676,-0.007013574660633459,0.4786681455799102,0.47114013437542845,-0.007528011204481766,0.4786681455799102,0.4844979775126833,0.0058298319327730885,0.4786681455799102,0.49225357975357964,0.01358543417366942,,,,0.4786681455799102,0.5260329131652661,0.047364767585355905,0.4786681455799102,0.44789891481067945,-0.03076923076923077,0.4786681455799102,0.44871366378719313,-0.02995448179271709,0.4786681455799102,0.4521991488903254,-0.0264689966895848,0.4786681455799102,0.49844230524377575,0.01977415966386553,0.4786681455799102,0.46412619243501596,-0.01454195314489426,14
1,1,5,0,1,0,3,0,0,1,1.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,4.0,4.0,4.0,5.0,,,,,,,0.74578081232493,0.7113445378151262,-0.0344362745098038,0.74578081232493,0.7010059793148029,-0.04477483301012708,0.74578081232493,0.6960434173669469,-0.04973739495798313,0.74578081232493,0.7555847338935575,0.009803921568627527,0.74578081232493,0.7537464985994398,0.007965686274509776,0.74578081232493,0.753623949579832,0.007843137254902044,0.74578081232493,0.7198004201680673,-0.025980392156862653,0.74578081232493,0.7641631652661065,0.018382352941176516,0.74578081232493,0.711467086834734,-0.034313725490195957,0.74578081232493,0.7314425770308125,-0.014338235294117485,0.74578081232493,0.7517682072829133,0.005987394957983283,11
0,1,6,0,2,2,7,1,0,7,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,7.0,3.0,3.0,3.0,5.0,,,,0.4427006408624057,0.4681791656056362,0.025478524743230535,0.4427006408624057,0.4892167473049826,0.04651610644257692,0.4427006408624057,0.46388411425176135,0.021183473389355667,0.4427006408624057,0.4427006408624057,0.0,0.4427006408624057,0.428302090066796,-0.0143985507956097,0.4427006408624057,0.4632363551481199,0.020535714285714213,0.4427006408624057,0.4478699813258637,0.0051693404634580165,0.4427006408624057,0.4555682879212291,0.012867647058823428,0.4427006408624057,0.44835725957049494,0.005656618708089256,0.4427006408624057,0.4885971055088702,0.04589646464646452,0.4427006408624057,0.42292833800186747,-0.019772302860538216,0.4427006408624057,0.4660316399286987,0.023330999066293046,25
2,1,0,0,0,1,4,0,0,0,5.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,0.4775470036499449,0.48139854426619133,0.0038515406162464294,,,,0.4775470036499449,0.4885764154146508,0.011029411764705899,0.4775470036499449,0.4854134835752483,0.007866479925303371,,,,0.4775470036499449,0.5354540771376471,0.05790707348770224,,,,0.4775470036499449,0.5072914014090486,0.029744397759103702,0.4775470036499449,0.4838495246583483,0.0063025210084033945,0.4775470036499449,0.4765666114930821,-0.0009803921568627971,0.4775470036499449,0.4864225235548766,0.008875519904931684,0.4775470036499449,0.461984869705458,-0.015562133944486911,0.4775470036499449,0.49382851625498686,0.01628151260504196,15
0,1,2,0,5,3,6,6,0,7,1.0,4.0,1.0,1.0,1.0,6.0,3.0,3.0,6.0,3.0,3.0,2.0,6.0,,,,0.5410063384328091,0.5329181031386914,-0.00808823529411773,0.5410063384328091,0.6481276484952957,0.1071213100624866,0.5410063384328091,0.5609993356316886,0.01999299719887948,,,,,,,,,,0.5410063384328091,0.5634045284780579,0.02239819004524879,0.5410063384328091,0.5222913524384112,-0.018714985994397915,0.5410063384328091,0.5517322954822955,0.010725957049486423,0.5410063384328091,0.5238526179702649,-0.017153720462544153,0.5410063384328091,0.509785516770811,-0.031220821661998133,0.5410063384328091,0.5358942936148818,-0.005112044817927264,21
1,1,1,0,0,0,1,0,0,1,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,7.0,4.0,3.0,3.0,7.0,,,,0.8468647245680119,0.8185670418585644,-0.028297682709447436,0.8468647245680119,0.834679850618432,-0.0121848739495799,0.8468647245680119,0.9069589930446332,0.06009426847662136,0.8468647245680119,0.8213748957693595,-0.02548982879865236,0.8468647245680119,0.807649038293502,-0.03921568627450989,0.8468647245680119,0.8363080018789362,-0.010556722689075704,0.8468647245680119,0.8386364332514852,-0.008228291316526692,0.8468647245680119,0.773985193967893,-0.07287953060011887,0.8468647245680119,0.8050792224883923,-0.04178550207961962,0.8468647245680119,0.7779921755484039,-0.06887254901960793,0.8468647245680119,0.8435559010386,-0.003308823529411864,0.8468647245680119,0.8385658747250444,-0.00829884984296747,11
4,0,0,0,0,0,4,1,0,0,2.0,5.0,3.0,2.0,2.0,7.0,4.0,4.0,8.0,4.0,4.0,3.0,8.0,0.6447025605113841,0.830081274934216,0.18537871442283194,,,,0.6447025605113841,0.6135167528549882,-0.031185807656395892,0.6447025605113841,0.6326869209222151,-0.012015639589168958,0.6447025605113841,0.7562055591467356,0.11150299863535151,0.6447025605113841,0.6361241291388351,-0.008578431372548989,0.6447025605113841,0.7037478452919629,0.0590452847805788,0.6447025605113841,0.6240092832004598,-0.020693277310924296,,,,0.6447025605113841,0.729236817104464,0.08453425659307989,0.6447025605113841,0.5971958188869955,-0.047506741624388615,0.6447025605113841,0.6623830417948066,0.017680481283422478,0.6447025605113841,0.6668664260576026,0.02216386554621852,15
