DIFFERENCE_Motiva_POP,DIFFERENCE_motivd_POP,DIFFERENCE_indev,DIFFERENCE_indevtry,DIFFERENCE_inclus_a,DIFFERENCE_inclus_b,DIFFERENCE_inclus_c,DIFFERENCE_comm1,DIFFERENCE_comm2,DIFFERENCE_anxious,DIFFERENCE_happy,DIFFERENCE_lone,DIFFERENCE_worthw
20,27,28,26,25,28,28,32,28,25,31,25,32
36,28,42,39,36,39,40,47,46,43,43,44,37
77,121,147,143,129,144,138,172,152,145,158,132,149
72,77,90,92,86,88,84,102,93,85,92,81,84
38,38,47,42,41,45,44,49,46,38,46,37,47
49,48,53,53,54,57,50,63,55,52,60,55,56
22,27,31,27,27,32,29,33,28,27,32,28,29
69,95,99,99,83,90,84,106,93,82,104,80,101
19,24,23,26,27,30,28,32,29,31,30,33,31
21,27,29,28,33,33,33,38,35,33,34,34,34
6,51,61,57,60,54,57,77,67,73,77,76,78
47,56,77,82,63,73,72,90,85,84,89,89,87
49,56,65,64,56,60,60,69,65,68,69,64,66
21,24,22,19,20,19,19,23,24,23,25,24,24
30,22,34,32,31,29,27,34,32,32,34,32,32
67,60,81,81,76,75,78,94,82,80,93,80,86
34,36,41,41,40,39,40,48,42,42,43,40,43
114,107,102,99,106,104,102,110,109,106,113,106,109
8,10,11,12,11,8,9,12,9,10,8,9,10
53,61,62,57,55,60,56,62,59,46,51,49,57
49,54,92,95,86,96,93,118,107,101,108,101,107
45,47,61,61,58,59,55,65,59,60,62,61,59
41,43,45,43,38,38,39,48,45,35,41,27,43
31,49,55,57,53,55,48,67,57,48,57,45,63
11,11,14,14,11,12,13,13,12,11,13,12,13
16,23,23,25,25,26,23,27,22,24,25,27,25
34,37,47,46,45,48,47,56,53,49,55,52,50
