Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.8797368774183245,0.8800409654171881,0.0003040879988636114,0.8797368774183245,0.8943901876947157,0.014653310276391163,0.8797368774183245,0.8950316092645423,0.015294731846217768,0.8797368774183245,0.8894743365784394,0.009737459160114925,0.8797368774183245,0.8943275066904641,0.01459062927213961,0.8797368774183245,0.9049168665516929,0.025179989133368386,0.8797368774183245,0.8829493469349906,0.0032124695166660944,0.8797368774183245,0.8602625629430367,-0.0194743144752878,0.8797368774183245,0.8820479472461223,0.002311069827797829,0.8797368774183245,0.8517446247358836,-0.027992252682440877,,,,0.8797368774183245,0.863543590091385,-0.016193287326939476,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8159087636738954,0.8511710306738397,0.03526226699994428,,,,0.8159087636738954,0.8124134459376439,-0.0034953177362515575,0.8159087636738954,0.8019214794021091,-0.013987284271786304,0.8159087636738954,0.8273790022030458,0.011470238529150412,0.8159087636738954,0.8325107163905759,0.016601952716680524,0.8159087636738954,0.8367439630176507,0.02083519934375533,0.8159087636738954,0.8083346979553032,-0.0075740657185922045,0.8159087636738954,0.8213061173453796,0.005397353671484195,0.8159087636738954,0.793913647533073,-0.02199511614082239,0.8159087636738954,0.8120715018020924,-0.0038372618718029994,0.8159087636738954,0.8130503187114237,-0.0028584449624716735,0.8159087636738954,0.8057591840957056,-0.010149579578189849,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.7528992203514858,0.7556295540223364,0.0027303336708506265,0.7528992203514858,0.7840492171467968,0.03114999679531094,0.7528992203514858,0.7745188082225345,0.021619587871048673,,,,,,,,,,0.7528992203514858,0.7475488716225674,-0.005350348728918375,0.7528992203514858,0.7368993254299073,-0.015999894921578495,,,,0.7528992203514858,0.7523194357515238,-0.0005797845999619966,,,,0.7528992203514858,0.7547748369849582,0.0018756166334723545,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295337199405919,0.7547633678395582,0.025229647898966312,0.7295337199405919,0.742510417441623,0.012976697501031143,,,,,,,0.7295337199405919,0.7523972860000101,0.022863566059418194,0.7295337199405919,0.7639567558041896,0.03442303586359774,0.7295337199405919,0.7509937507637335,0.02146003082314163,0.7295337199405919,0.7609963702525555,0.0314626503119636,0.7295337199405919,0.7083181672995443,-0.021215552641047575,,,,,,,0.7295337199405919,0.7254687651881001,-0.004064954752491801,0.7295337199405919,0.7274282141517514,-0.0021055057888405004,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.9247543897930116,0.9409199985444543,0.016165608751442684,0.9247543897930116,0.9219333379252436,-0.002821051867768043,0.9247543897930116,0.8929419953366234,-0.03181239445638817,,,,,,,,,,0.9247543897930116,0.9241844040332168,-0.0005699857597948332,0.9247543897930116,0.9095957498057554,-0.015158639987256195,0.9247543897930116,0.9283520188126853,0.0035976290196736427,0.9247543897930116,0.9010332439937101,-0.023721145799301513,0.9247543897930116,0.9219255866034616,-0.002828803189550033,0.9247543897930116,0.9179137952494135,-0.006840594543598089,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5653837354644872,0.5641084825367804,-0.0012752529277068048,0.5653837354644872,0.5990129827197569,0.03362924725526972,,,,,,,0.5653837354644872,0.5816952542744827,0.016311518809995484,,,,,,,0.5653837354644872,0.5596185169390876,-0.005765218525399574,,,,0.5653837354644872,0.5493800413364381,-0.01600369412804903,0.5653837354644872,0.565314699526651,-6.903593783613715e-05,,,,0.5653837354644872,0.5689521659823223,0.003568430517835175,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454666259228062,0.6817249135244566,0.036258287601650396,,,,0.6454666259228062,0.6497298707030643,0.00426324478025808,0.6454666259228062,0.6540481398319538,0.00858151390914752,0.6454666259228062,0.6600928922175008,0.014626266294694545,0.6454666259228062,0.6796873059065854,0.0342206799837792,0.6454666259228062,0.6534076745007289,0.00794104857792266,0.6454666259228062,0.6301871143120761,-0.015279511610730157,0.6454666259228062,0.6152623128736546,-0.03020431304915161,0.6454666259228062,0.6394287721182936,-0.006037853804512605,0.6454666259228062,0.664900721719301,0.0194340957964948,0.6454666259228062,0.6549548076130969,0.009488181690290642,0.6454666259228062,0.6546828801575979,0.009216254234791665,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.8765705077408896,0.889161976547908,0.012591468807018336,0.8765705077408896,0.8912331867502244,0.014662679009334822,0.8765705077408896,0.8667492676043853,-0.009821240136504317,0.8765705077408896,0.8935041905311911,0.016933682790301496,0.8765705077408896,0.8880638615169001,0.011493353776010462,0.8765705077408896,0.8668935917231781,-0.009676916017711479,0.8765705077408896,0.8493756305060787,-0.027194877234810955,0.8765705077408896,0.867191060965777,-0.009379446775112599,0.8765705077408896,0.8688916723537029,-0.007678835387186722,0.8765705077408896,0.8528004144857315,-0.02377009325515811,0.8765705077408896,0.8655855110173287,-0.010984996723560903,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421134688816438,0.7503241759362058,0.10821070705456204,0.6421134688816438,0.6629729611319253,0.020859492250281497,0.6421134688816438,0.6299223471279428,-0.012191121753700962,0.6421134688816438,0.6511421324496235,0.009028663567979711,0.6421134688816438,0.6390629993140802,-0.0030504695675636073,0.6421134688816438,0.649044968204285,0.006931499322641255,0.6421134688816438,0.6540814160955362,0.011967947213892383,0.6421134688816438,0.6276299749195663,-0.014483493962077487,0.6421134688816438,0.6200489346891965,-0.02206453419244725,0.6421134688816438,0.624578388455358,-0.01753508042628582,0.6421134688816438,0.6401789485719012,-0.0019345203097426156,0.6421134688816438,0.6494396948919743,0.0073262260103305055,0.6421134688816438,0.6407119808755695,-0.001401488006074314,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.6449682865346235,0.6569978226976647,0.012029536163041255,0.6449682865346235,0.6183351536418755,-0.026633132892747935,0.6449682865346235,0.6423907056617824,-0.002577580872841101,,,,0.6449682865346235,0.6752682515898909,0.03029996505526744,0.6449682865346235,0.6490928040052233,0.004124517470599831,0.6449682865346235,0.6417916195001693,-0.0031766670344541836,0.6449682865346235,0.5976664480457505,-0.04730183848887293,0.6449682865346235,0.6409659683201554,-0.004002318214468059,0.6449682865346235,0.6746546171498766,0.029686330615253165,0.6449682865346235,0.6521104124579432,0.007142125923319753,0.6449682865346235,0.665369706325548,0.02040141979092458,22.0
