Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.8828113360869736,0.8811554081541109,-0.001655927932862733,0.8828113360869736,0.8919674298884946,0.009156093801521048,0.8828113360869736,0.8985983708907671,0.01578703480379351,0.8828113360869736,0.8930555107900993,0.010244174703125664,0.8828113360869736,0.897921143740428,0.015109807653454377,0.8828113360869736,0.9082333446832026,0.025422008596229007,0.8828113360869736,0.8850301715158904,0.0022188354289167656,0.8828113360869736,0.8684293269688004,-0.014382009118173222,0.8828113360869736,0.8774348880616778,-0.005376448025295799,0.8828113360869736,0.8574667152504161,-0.02534462083655753,,,,0.8828113360869736,0.8770076748140876,-0.005803661272886007,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7994553725137936,0.8437575989521177,0.044302226438324044,,,,0.7994553725137936,0.8048065967527431,0.005351224238949515,0.7994553725137936,0.7921406985694932,-0.007314673944300409,0.7994553725137936,0.8031096758096832,0.0036543032958895605,0.7994553725137936,0.8162170393322772,0.016761666818483567,0.7994553725137936,0.8279440082049434,0.02848863569114979,0.7994553725137936,0.7921380318604745,-0.0073173406533191265,0.7994553725137936,0.7992375839877258,-0.00021778852606779697,0.7994553725137936,0.7771471897163819,-0.022308182797411757,0.7994553725137936,0.8019593272180744,0.0025039547042807753,0.7994553725137936,0.7972041811574572,-0.002251191356336446,0.7994553725137936,0.79534867961212,-0.0041066929016736475,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.7702598446750574,0.7719690222842505,0.001709177609193091,0.7702598446750574,0.7982339695824036,0.027974124907346187,0.7702598446750574,0.7832313074212706,0.012971462746213192,,,,,,,,,,0.7702598446750574,0.76224413948364,-0.008015705191417366,0.7702598446750574,0.7490841708225345,-0.021175673852522836,,,,0.7702598446750574,0.7690540976642851,-0.0012057470107722512,,,,0.7702598446750574,0.7620276779452129,-0.008232166729844503,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415737791628896,0.7635194740906475,0.021945694927757886,0.7415737791628896,0.7514897872976493,0.00991600813475968,,,,,,,0.7415737791628896,0.7565588976316502,0.014985118468760605,0.7415737791628896,0.7632813615928776,0.021707582429988048,0.7415737791628896,0.7704178795498794,0.028844100386989813,0.7415737791628896,0.7720468619923477,0.030473082829458153,0.7415737791628896,0.7309454536213852,-0.010628325541504391,,,,,,,0.7415737791628896,0.7343265019307916,-0.007247277232097948,0.7415737791628896,0.733609151745356,-0.007964627417533565,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.9200345752374692,0.9435974053963407,0.023562830158871506,0.9200345752374692,0.9199949954194816,-3.957981798763388e-05,0.9200345752374692,0.8815716334728159,-0.03846294176465337,,,,,,,,,,0.9200345752374692,0.917261773366004,-0.0027728018714652247,0.9200345752374692,0.904055752808502,-0.0159788224289672,0.9200345752374692,0.9263356213404996,0.006301046103030394,0.9200345752374692,0.9039143458572628,-0.016120229380206408,0.9200345752374692,0.9197654092412968,-0.00026916599617243797,0.9200345752374692,0.9187504004032966,-0.0012841748341726467,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5671977294780615,0.5672056583021127,7.92882405120654e-06,0.5671977294780615,0.607246021124082,0.04004829164602053,,,,,,,0.5671977294780615,0.5827015260263604,0.01550379654829892,,,,,,,0.5671977294780615,0.5616329765434014,-0.005564752934660078,,,,0.5671977294780615,0.5594834411931374,-0.007714288284924042,0.5671977294780615,0.5696212959645196,0.0024235664864581397,,,,0.5671977294780615,0.5637662232101803,-0.0034315062678811348,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6316078319785418,0.6620347766070921,0.030426944628550334,,,,0.6316078319785418,0.6351705467577203,0.0035627147791785774,0.6316078319785418,0.6464275261282538,0.01481969414971207,0.6316078319785418,0.639122037706027,0.00751420572748529,0.6316078319785418,0.6562979948559229,0.024690162877381128,0.6316078319785418,0.6362077699697338,0.004599937991192071,0.6316078319785418,0.6141204004188896,-0.017487431559652156,0.6316078319785418,0.6004508727945981,-0.031156959183943678,0.6316078319785418,0.6324536913243438,0.000845859345802058,0.6316078319785418,0.6472017770352695,0.015593945056727732,0.6316078319785418,0.6408212293788562,0.00921339740031446,0.6316078319785418,0.6381179879822175,0.006510156003675771,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.8735436926825968,0.8841229332815309,0.010579240598934114,0.8735436926825968,0.8984808892051077,0.024937196522510918,0.8735436926825968,0.8712728863691421,-0.002270806313454665,0.8735436926825968,0.8904981264577487,0.016954433775151934,0.8735436926825968,0.8849800047869729,0.011436312104376123,0.8735436926825968,0.8628375712696088,-0.01070612141298799,0.8735436926825968,0.8490126702931381,-0.0245310223894587,0.8735436926825968,0.8529629429341844,-0.020580749748412397,0.8735436926825968,0.868098689366385,-0.005445003316211783,0.8735436926825968,0.8461773102114825,-0.027366382471114337,0.8735436926825968,0.8600098603755293,-0.013533832307067506,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775558016647186,0.774403658222553,0.09684785655783434,0.6775558016647186,0.6888951622481753,0.011339360583456637,0.6775558016647186,0.6679932821697881,-0.009562519494930477,0.6775558016647186,0.6945594259142575,0.01700362424953883,0.6775558016647186,0.6570685337074813,-0.02048726795723732,0.6775558016647186,0.6750504565423603,-0.002505345122358338,0.6775558016647186,0.6789766992634061,0.001420897598687465,0.6775558016647186,0.6654983556969228,-0.012057445967795788,0.6775558016647186,0.647856235242867,-0.029699566421851675,0.6775558016647186,0.6430922942496714,-0.03446350741504722,0.6775558016647186,0.679499474386111,0.0019436727213923977,0.6775558016647186,0.6755109186864388,-0.0020448829782798716,0.6775558016647186,0.6709491524675805,-0.006606649197138159,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.6241692749273916,0.6386486715475334,0.014479396620141749,0.6241692749273916,0.6183313894867937,-0.005837885440597934,0.6241692749273916,0.6267836894671748,0.002614414539783172,,,,0.6241692749273916,0.6417326578357967,0.01756338290840509,0.6241692749273916,0.6275517332169939,0.0033824582896022637,0.6241692749273916,0.6316528720091832,0.007483597081791582,0.6241692749273916,0.587095158386856,-0.03707411654053561,0.6241692749273916,0.6106038657517724,-0.013565409175619214,0.6241692749273916,0.6459876061580013,0.021818331230609722,0.6241692749273916,0.6319680608570276,0.00779878592963601,0.6241692749273916,0.6457162223504258,0.021546947423034202,22.0
