Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Child4,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_1.0,Gend3_2.0,Gend3_3.0,Eth7_1.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,WorkStat8_0.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_0.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_C0_Motiva_POP,PREDS_C1_Motiva_POP,PREDS_C2_Motiva_POP,PERTURBED_PREDS_C0_Motiva_POP,PERTURBED_PREDS_C1_Motiva_POP,PERTURBED_PREDS_C2_Motiva_POP,DIFFERENCE_C0_Motiva_POP,DIFFERENCE_C1_Motiva_POP,DIFFERENCE_C2_Motiva_POP,PREDS_C0_motivd_POP,PREDS_C1_motivd_POP,PREDS_C2_motivd_POP,PERTURBED_PREDS_C0_motivd_POP,PERTURBED_PREDS_C1_motivd_POP,PERTURBED_PREDS_C2_motivd_POP,DIFFERENCE_C0_motivd_POP,DIFFERENCE_C1_motivd_POP,DIFFERENCE_C2_motivd_POP,PREDS_C0_indev,PREDS_C1_indev,PREDS_C2_indev,PERTURBED_PREDS_C0_indev,PERTURBED_PREDS_C1_indev,PERTURBED_PREDS_C2_indev,DIFFERENCE_C0_indev,DIFFERENCE_C1_indev,DIFFERENCE_C2_indev,PREDS_C0_indevtry,PREDS_C1_indevtry,PREDS_C2_indevtry,PERTURBED_PREDS_C0_indevtry,PERTURBED_PREDS_C1_indevtry,PERTURBED_PREDS_C2_indevtry,DIFFERENCE_C0_indevtry,DIFFERENCE_C1_indevtry,DIFFERENCE_C2_indevtry,PREDS_C0_inclus_a,PREDS_C1_inclus_a,PREDS_C2_inclus_a,PERTURBED_PREDS_C0_inclus_a,PERTURBED_PREDS_C1_inclus_a,PERTURBED_PREDS_C2_inclus_a,DIFFERENCE_C0_inclus_a,DIFFERENCE_C1_inclus_a,DIFFERENCE_C2_inclus_a,PREDS_C0_inclus_b,PREDS_C1_inclus_b,PREDS_C2_inclus_b,PERTURBED_PREDS_C0_inclus_b,PERTURBED_PREDS_C1_inclus_b,PERTURBED_PREDS_C2_inclus_b,DIFFERENCE_C0_inclus_b,DIFFERENCE_C1_inclus_b,DIFFERENCE_C2_inclus_b,PREDS_C0_inclus_c,PREDS_C1_inclus_c,PREDS_C2_inclus_c,PERTURBED_PREDS_C0_inclus_c,PERTURBED_PREDS_C1_inclus_c,PERTURBED_PREDS_C2_inclus_c,DIFFERENCE_C0_inclus_c,DIFFERENCE_C1_inclus_c,DIFFERENCE_C2_inclus_c,PREDS_C0_comm1,PREDS_C1_comm1,PREDS_C2_comm1,PERTURBED_PREDS_C0_comm1,PERTURBED_PREDS_C1_comm1,PERTURBED_PREDS_C2_comm1,DIFFERENCE_C0_comm1,DIFFERENCE_C1_comm1,DIFFERENCE_C2_comm1,PREDS_C0_comm2,PREDS_C1_comm2,PREDS_C2_comm2,PERTURBED_PREDS_C0_comm2,PERTURBED_PREDS_C1_comm2,PERTURBED_PREDS_C2_comm2,DIFFERENCE_C0_comm2,DIFFERENCE_C1_comm2,DIFFERENCE_C2_comm2,PREDS_C0_anxious,PREDS_C1_anxious,PREDS_C2_anxious,PERTURBED_PREDS_C0_anxious,PERTURBED_PREDS_C1_anxious,PERTURBED_PREDS_C2_anxious,DIFFERENCE_C0_anxious,DIFFERENCE_C1_anxious,DIFFERENCE_C2_anxious,PREDS_C0_happy,PREDS_C1_happy,PREDS_C2_happy,PERTURBED_PREDS_C0_happy,PERTURBED_PREDS_C1_happy,PERTURBED_PREDS_C2_happy,DIFFERENCE_C0_happy,DIFFERENCE_C1_happy,DIFFERENCE_C2_happy,PREDS_C0_lone,PREDS_C1_lone,PREDS_C2_lone,PERTURBED_PREDS_C0_lone,PERTURBED_PREDS_C1_lone,PERTURBED_PREDS_C2_lone,DIFFERENCE_C0_lone,DIFFERENCE_C1_lone,DIFFERENCE_C2_lone,PREDS_C0_worthw,PREDS_C1_worthw,PREDS_C2_worthw,PERTURBED_PREDS_C0_worthw,PERTURBED_PREDS_C1_worthw,PERTURBED_PREDS_C2_worthw,DIFFERENCE_C0_worthw,DIFFERENCE_C1_worthw,DIFFERENCE_C2_worthw,labels
6.0,1.0,1.0,1.0,10.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.012601388,0.018564839,0.9688338,0.013757455,0.015261766,0.9709808,0.0011560675,-0.0033030733,0.002147019,0.012601388,0.018564839,0.9688338,0.012601388,0.018564839,0.9688338,0.0,0.0,0.0,0.012601388,0.018564839,0.9688338,0.012601388,0.018564839,0.9688338,0.0,0.0,0.0,0.012601388,0.018564839,0.9688338,0.011085528,0.009500764,0.97941375,-0.0015158597,-0.009064075,0.010579944,0.012601388,0.018564839,0.9688338,0.007083876,0.0044566994,0.9884594,-0.0055175116,-0.01410814,0.019625604,0.012601388,0.018564839,0.9688338,0.0074944,0.00595334,0.9865522,-0.005106988,-0.012611499,0.017718375,0.012601388,0.018564839,0.9688338,0.012601388,0.018564839,0.9688338,0.0,0.0,0.0,0.012601388,0.018564839,0.9688338,0.012601388,0.018564839,0.9688338,0.0,0.0,0.0,0.012601388,0.018564839,0.9688338,0.0089344885,0.003992646,0.9870728,-0.0036668992,-0.014572193,0.018239021,0.012601388,0.018564839,0.9688338,0.014151242,0.025055798,0.9607929,0.001549854,0.006490959,-0.008040905,,,,,,,,,,0.012601388,0.018564839,0.9688338,0.011840441,0.12454004,0.86361945,-0.0007609464,0.105975196,-0.10521436,10.0
6.0,1.0,1.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010857451,0.011649784,0.97749275,0.010206058,0.008212945,0.98158103,-0.0006513931,-0.0034368383,0.0040882826,,,,,,,,,,0.010857451,0.011649784,0.97749275,0.010857451,0.011649784,0.97749275,0.0,0.0,0.0,0.010857451,0.011649784,0.97749275,0.010857451,0.011649784,0.97749275,0.0,0.0,0.0,0.010857451,0.011649784,0.97749275,0.02587069,0.02588282,0.94824654,0.015013239,0.014233036,-0.029246211,0.010857451,0.011649784,0.97749275,0.00596494,0.005515789,0.98851925,-0.004892511,-0.0061339946,0.011026502,0.010857451,0.011649784,0.97749275,0.007583649,0.004790589,0.9876258,-0.0032738019,-0.0068591945,0.010133028,0.010857451,0.011649784,0.97749275,0.010857451,0.011649784,0.97749275,0.0,0.0,0.0,0.010857451,0.011649784,0.97749275,0.010857451,0.011649784,0.97749275,0.0,0.0,0.0,0.010857451,0.011649784,0.97749275,0.033733282,0.1175603,0.84870636,0.02287583,0.10591051,-0.12878639,0.010857451,0.011649784,0.97749275,0.012856063,0.007094023,0.9800499,0.0019986127,-0.004555761,0.0025571585,0.010857451,0.011649784,0.97749275,0.017566608,0.022043915,0.96038944,0.0067091575,0.010394132,-0.017103314,0.010857451,0.011649784,0.97749275,0.0051062065,0.0060931947,0.98880064,-0.0057512443,-0.005556589,0.011307895,10.0
6.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.17219104,0.0036491163,0.82415986,0.17025988,0.0036153896,0.8261248,-0.0019311607,-3.3726683e-05,0.0019649267,0.17219104,0.0036491163,0.82415986,0.17219104,0.0036491163,0.82415986,0.0,0.0,0.0,0.17219104,0.0036491163,0.82415986,0.17219104,0.0036491163,0.82415986,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17219104,0.0036491163,0.82415986,0.17219104,0.0036491163,0.82415986,0.0,0.0,0.0,0.17219104,0.0036491163,0.82415986,0.17219104,0.0036491163,0.82415986,0.0,0.0,0.0,,,,,,,,,,0.17219104,0.0036491163,0.82415986,0.040597763,0.0016876236,0.9577146,-0.13159327,-0.0019614927,0.13355476,,,,,,,,,,0.17219104,0.0036491163,0.82415986,0.21994495,0.002631509,0.77742356,0.047753915,-0.0010176073,-0.0467363,10.0
6.0,1.0,1.0,1.0,8.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297337,0.088328525,0.6143345,0.21549913,0.1467889,0.637712,-0.08183786,0.05846037,0.023377478,0.297337,0.088328525,0.6143345,0.109561846,0.08262573,0.80781245,-0.18777515,-0.0057027936,0.19347793,,,,,,,,,,,,,,,,,,,0.297337,0.088328525,0.6143345,0.28113294,0.09071834,0.6281487,-0.01620406,0.002389811,0.013814151,0.297337,0.088328525,0.6143345,0.19846837,0.05564904,0.7458826,-0.09886862,-0.032679487,0.13154805,0.297337,0.088328525,0.6143345,0.13336799,0.0961233,0.77050877,-0.16396901,0.007794775,0.15617424,0.297337,0.088328525,0.6143345,0.297337,0.088328525,0.6143345,0.0,0.0,0.0,0.297337,0.088328525,0.6143345,0.297337,0.088328525,0.6143345,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.297337,0.088328525,0.6143345,0.22462043,0.089583986,0.68579555,-0.072716564,0.0012554601,0.07146102,0.297337,0.088328525,0.6143345,0.45764813,0.16785713,0.3744947,0.16031113,0.0795286,-0.23983982,6.0
4.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0070789126,0.013939146,0.9789819,0.0031809201,0.011153623,0.98566544,-0.0038979924,-0.0027855225,0.0066835284,0.0070789126,0.013939146,0.9789819,0.0070789126,0.013939146,0.9789819,0.0,0.0,0.0,0.0070789126,0.013939146,0.9789819,0.0070789126,0.013939146,0.9789819,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0070789126,0.013939146,0.9789819,0.0070789126,0.013939146,0.9789819,0.0,0.0,0.0,0.0070789126,0.013939146,0.9789819,0.0070789126,0.013939146,0.9789819,0.0,0.0,0.0,0.0070789126,0.013939146,0.9789819,0.0037833846,0.005746117,0.9904705,-0.003295528,-0.008193029,0.0114886165,0.0070789126,0.013939146,0.9789819,0.010280094,0.020934602,0.9687853,0.0032011815,0.0069954563,-0.010196626,0.0070789126,0.013939146,0.9789819,0.006868978,0.007549012,0.98558205,-0.00020993454,-0.006390134,0.0066001415,0.0070789126,0.013939146,0.9789819,0.0058586583,0.007861486,0.98627985,-0.0012202542,-0.0060776602,0.007297933,20.0
5.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7272927,0.016017912,0.2566894,0.72321856,0.015376496,0.26140493,-0.0040741563,-0.0006414158,0.004715532,0.7272927,0.016017912,0.2566894,0.59985304,0.02016845,0.3799785,-0.12743968,0.004150538,0.12328911,,,,,,,,,,,,,,,,,,,0.7272927,0.016017912,0.2566894,0.756818,0.023099674,0.2200823,0.02952528,0.007081762,-0.0366071,,,,,,,,,,,,,,,,,,,0.7272927,0.016017912,0.2566894,0.7272927,0.016017912,0.2566894,0.0,0.0,0.0,,,,,,,,,,0.7272927,0.016017912,0.2566894,0.766002,0.018901257,0.21509677,0.038709283,0.002883345,-0.041592628,0.7272927,0.016017912,0.2566894,0.57169473,0.016062664,0.4122426,-0.15559798,4.4751912e-05,0.15555319,,,,,,,,,,0.7272927,0.016017912,0.2566894,0.562149,0.069589525,0.3682615,-0.16514373,0.05357161,0.11157209,22.0
5.0,1.0,1.0,1.0,10.0,1.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05899806,0.0254906,0.91551137,0.04545245,0.02578085,0.9287667,-0.01354561,0.00029024854,0.013255358,,,,,,,,,,0.05899806,0.0254906,0.91551137,0.05899806,0.0254906,0.91551137,0.0,0.0,0.0,0.05899806,0.0254906,0.91551137,0.05899806,0.0254906,0.91551137,0.0,0.0,0.0,0.05899806,0.0254906,0.91551137,0.061607312,0.023458112,0.9149346,0.002609253,-0.0020324886,-0.00057679415,0.05899806,0.0254906,0.91551137,0.031893622,0.013844764,0.95426166,-0.027104437,-0.011645837,0.03875029,0.05899806,0.0254906,0.91551137,0.060484283,0.046916347,0.8925994,0.0014862232,0.021425746,-0.022911966,0.05899806,0.0254906,0.91551137,0.05899806,0.0254906,0.91551137,0.0,0.0,0.0,0.05899806,0.0254906,0.91551137,0.05899806,0.0254906,0.91551137,0.0,0.0,0.0,0.05899806,0.0254906,0.91551137,0.066033825,0.14767991,0.78628623,0.007035766,0.12218931,-0.12922513,0.05899806,0.0254906,0.91551137,0.054086186,0.025484512,0.92042935,-0.0049118735,-6.088987e-06,0.0049179792,0.05899806,0.0254906,0.91551137,0.06845081,0.025041034,0.90650815,0.009452749,-0.00044956617,-0.009003222,0.05899806,0.0254906,0.91551137,0.041933723,0.025978211,0.9320881,-0.017064337,0.0004876107,0.016576707,10.0
4.0,1.0,1.0,1.0,7.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0102567645,0.04835406,0.9413892,0.0102567645,0.04835406,0.9413892,0.0,0.0,0.0,0.0102567645,0.04835406,0.9413892,0.0102567645,0.04835406,0.9413892,0.0,0.0,0.0,0.0102567645,0.04835406,0.9413892,0.010384411,0.08512236,0.9044933,0.00012764614,0.036768302,-0.03689593,0.0102567645,0.04835406,0.9413892,0.002401048,0.009827946,0.98777103,-0.007855716,-0.038526114,0.04638183,0.0102567645,0.04835406,0.9413892,0.007854538,0.023131255,0.9690142,-0.0024022264,-0.025222804,0.027625024,0.0102567645,0.04835406,0.9413892,0.0102567645,0.04835406,0.9413892,0.0,0.0,0.0,0.0102567645,0.04835406,0.9413892,0.0102567645,0.04835406,0.9413892,0.0,0.0,0.0,0.0102567645,0.04835406,0.9413892,0.00830504,0.20611212,0.7855829,-0.0019517243,0.15775806,-0.1558063,0.0102567645,0.04835406,0.9413892,0.01165346,0.036256913,0.95208967,0.0013966952,-0.012097146,0.010700464,0.0102567645,0.04835406,0.9413892,0.024154821,0.11602859,0.8598166,0.013898057,0.06767453,-0.08157259,0.0102567645,0.04835406,0.9413892,0.008196099,0.18141972,0.81038415,-0.0020606657,0.13306566,-0.13100505,22.0
3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23720562,0.0703927,0.6924017,0.03423429,0.039841563,0.9259241,-0.20297134,-0.030551136,0.23352242,0.23720562,0.0703927,0.6924017,0.2422299,0.050004583,0.7077656,0.005024269,-0.020388115,0.015363872,0.23720562,0.0703927,0.6924017,0.23720562,0.0703927,0.6924017,0.0,0.0,0.0,0.23720562,0.0703927,0.6924017,0.23720562,0.0703927,0.6924017,0.0,0.0,0.0,0.23720562,0.0703927,0.6924017,0.3061159,0.13169406,0.56219006,0.06891027,0.061301365,-0.13021165,0.23720562,0.0703927,0.6924017,0.2524158,0.03924289,0.70834136,0.0152101815,-0.031149808,0.015939653,0.23720562,0.0703927,0.6924017,0.19318725,0.13625374,0.670559,-0.044018373,0.06586105,-0.021842718,0.23720562,0.0703927,0.6924017,0.23720562,0.0703927,0.6924017,0.0,0.0,0.0,0.23720562,0.0703927,0.6924017,0.23720562,0.0703927,0.6924017,0.0,0.0,0.0,0.23720562,0.0703927,0.6924017,0.6313101,0.20813236,0.16055752,0.39410448,0.13773966,-0.5318442,0.23720562,0.0703927,0.6924017,0.16962509,0.070287816,0.76008713,-0.067580536,-0.00010488182,0.067685425,0.23720562,0.0703927,0.6924017,0.20357502,0.023591176,0.7728338,-0.03363061,-0.046801522,0.08043212,0.23720562,0.0703927,0.6924017,0.23313627,0.06921166,0.69765204,-0.004069358,-0.0011810362,0.0052503347,8.0
3.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.35006052,0.32547644,0.32446304,0.20279004,0.4059127,0.39129722,-0.14727049,0.08043626,0.06683418,0.35006052,0.32547644,0.32446304,0.35006052,0.32547644,0.32446304,0.0,0.0,0.0,0.35006052,0.32547644,0.32446304,0.35006052,0.32547644,0.32446304,0.0,0.0,0.0,,,,,,,,,,0.35006052,0.32547644,0.32446304,0.40573534,0.35272956,0.24153513,0.05567482,0.027253121,-0.08292791,0.35006052,0.32547644,0.32446304,0.28248847,0.3037073,0.41380426,-0.06757206,-0.021769136,0.08934122,0.35006052,0.32547644,0.32446304,0.35006052,0.32547644,0.32446304,0.0,0.0,0.0,0.35006052,0.32547644,0.32446304,0.35006052,0.32547644,0.32446304,0.0,0.0,0.0,0.35006052,0.32547644,0.32446304,0.62863743,0.14222945,0.22913308,0.2785769,-0.18324699,-0.095329955,0.35006052,0.32547644,0.32446304,0.26618594,0.43735248,0.29646158,-0.08387458,0.11187604,-0.028001457,0.35006052,0.32547644,0.32446304,0.4799346,0.1689424,0.35112295,0.12987408,-0.15653403,0.026659906,0.35006052,0.32547644,0.32446304,0.22051388,0.45456627,0.32491982,-0.12954664,0.12908983,0.0004567802,22.0
