Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1048.7804626924787,1081.6254984622124,32.84503576973361,1048.7804626924787,1039.9804986874365,-8.799964005042284,1048.7804626924787,1078.3809497794628,29.600487086984003,1048.7804626924787,1104.8340782862151,56.05361559373637,1048.7804626924787,1087.8071727223362,39.02671002985744,1048.7804626924787,1050.0352465930005,1.2547839005217156,1048.7804626924787,1032.810732248239,-15.969730444239758,1048.7804626924787,1046.7420353616883,-2.038427330790455,1048.7804626924787,1044.8499943102217,-3.930468382257004,1048.7804626924787,1073.9089381564509,25.12847546397211,,,,1048.7804626924787,1074.9751194275236,26.194656735044873,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,784.5271527349739,947.0890126784938,162.56185994351983,,,,784.5271527349739,775.7271887299315,-8.799964005042398,784.5271527349739,814.1276398219577,29.600487086983776,784.5271527349739,840.5807683287102,56.053615593736254,784.5271527349739,823.5538627648313,39.02671002985733,784.5271527349739,785.7819366354956,1.2547839005217156,784.5271527349739,768.5574222907342,-15.969730444239758,784.5271527349739,782.4887254041834,-2.0384273307905687,784.5271527349739,780.5966843527169,-3.930468382257004,784.5271527349739,809.655628198946,25.12847546397211,784.5271527349739,707.6224219136485,-76.90473082132542,784.5271527349739,810.7218094700187,26.19465673504476,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,790.3865418809111,823.2315776506445,32.845035769733386,790.3865418809111,781.5865778758687,-8.799964005042398,790.3865418809111,819.9870289678948,29.600487086983776,,,,,,,,,,790.3865418809111,774.4168114366713,-15.969730444239758,790.3865418809111,788.3481145501205,-2.0384273307905687,,,,790.3865418809111,815.5150173448831,25.128475463971995,,,,790.3865418809111,816.5811986159557,26.194656735044646,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.7447467607517,897.3066067042715,162.56185994351983,734.7447467607517,767.5897825304851,32.845035769733386,,,,,,,734.7447467607517,790.7983623544878,56.05361559373614,734.7447467607517,773.771456790609,39.02671002985733,734.7447467607517,735.9995306612734,1.2547839005217156,734.7447467607517,718.7750163165119,-15.969730444239758,734.7447467607517,732.7063194299611,-2.0384273307905687,,,,,,,734.7447467607517,657.8400159394262,-76.90473082132553,734.7447467607517,760.9394034957963,26.194656735044646,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1037.7959761786758,1070.6410119484092,32.845035769733386,1037.7959761786758,1028.9960121736335,-8.799964005042284,1037.7959761786758,1067.3964632656598,29.600487086984003,,,,,,,,,,1037.7959761786758,1021.826245734436,-15.969730444239758,1037.7959761786758,1035.7575488478853,-2.038427330790455,1037.7959761786758,1033.8655077964188,-3.930468382257004,1037.7959761786758,1062.924451642648,25.12847546397211,1037.7959761786758,960.8912453573503,-76.90473082132553,1037.7959761786758,1063.9906329137204,26.194656735044646,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.512424113269503,154.04943583025033,162.56185994351983,-8.512424113269503,24.332611656463882,32.845035769733386,,,,,,,-8.512424113269503,47.54119148046664,56.05361559373614,,,,,,,-8.512424113269503,-24.48215455750926,-15.969730444239758,,,,-8.512424113269503,-12.442892495526507,-3.930468382257004,-8.512424113269503,16.616051350702378,25.12847546397188,,,,-8.512424113269503,17.682232621775142,26.194656735044646,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.2132691583301,812.7751291018501,162.56185994351995,,,,650.2132691583301,641.4133051532878,-8.799964005042398,650.2132691583301,679.8137562453139,29.600487086983776,650.2132691583301,706.2668847520664,56.053615593736254,650.2132691583301,689.2399791881876,39.02671002985744,650.2132691583301,651.4680530588519,1.2547839005217156,650.2132691583301,634.2435387140904,-15.969730444239758,650.2132691583301,648.1748418275396,-2.0384273307905687,650.2132691583301,646.2828007760731,-3.930468382257004,650.2132691583301,675.3417446223023,25.12847546397211,650.2132691583301,573.3085383370047,-76.90473082132542,650.2132691583301,676.4079258933749,26.19465673504476,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,909.9539085792912,901.1539445742488,-8.799964005042398,909.9539085792912,939.554395666275,29.600487086983776,909.9539085792912,966.0075241730274,56.05361559373614,909.9539085792912,948.9806186091486,39.02671002985733,909.9539085792912,911.208692479813,1.2547839005217156,909.9539085792912,893.9841781350515,-15.969730444239758,909.9539085792912,907.9154812485007,-2.0384273307905687,909.9539085792912,906.0234401970342,-3.930468382257004,909.9539085792912,935.0823840432632,25.128475463971995,909.9539085792912,833.0491777579657,-76.90473082132553,909.9539085792912,936.1485653143359,26.194656735044646,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.5896575329504,911.1515174764702,162.56185994351983,748.5896575329504,781.4346933026837,32.845035769733386,748.5896575329504,739.789693527908,-8.799964005042398,748.5896575329504,778.1901446199341,29.600487086983776,748.5896575329504,804.6432731266865,56.05361559373614,748.5896575329504,787.6163675628077,39.02671002985733,748.5896575329504,749.8444414334721,1.2547839005217156,748.5896575329504,732.6199270887106,-15.969730444239758,748.5896575329504,746.5512302021598,-2.0384273307905687,748.5896575329504,744.6591891506934,-3.930468382257004,748.5896575329504,773.7181329969223,25.128475463971995,748.5896575329504,671.6849267116249,-76.90473082132542,748.5896575329504,774.784314267995,26.194656735044646,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,764.9805177748062,797.8255535445396,32.845035769733386,764.9805177748062,756.1805537697638,-8.799964005042398,764.9805177748062,794.58100486179,29.600487086983776,,,,764.9805177748062,804.0072278046636,39.02671002985733,764.9805177748062,766.235301675328,1.2547839005217156,764.9805177748062,749.0107873305665,-15.969730444239758,764.9805177748062,762.9420904440157,-2.0384273307905687,764.9805177748062,761.0500493925492,-3.930468382257004,764.9805177748062,790.1089932387782,25.128475463971995,764.9805177748062,688.0757869534807,-76.90473082132553,764.9805177748062,791.1751745098509,26.194656735044646,22.0
