Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.639374949631669,6.836057806712422,0.19668285708075217,6.639374949631669,6.690564945098644,0.05118999546697456,6.639374949631669,6.59702934291457,-0.04234560671709975,6.639374949631669,6.756100384303298,0.11672543467162821,6.639374949631669,6.707788435618388,0.06841348598671892,6.639374949631669,6.6891404191788535,0.04976546954718408,6.639374949631669,6.623705638205026,-0.015669311426643517,6.639374949631669,6.611106602208825,-0.02826834742284401,6.639374949631669,6.591379241854333,-0.04799570777733653,6.639374949631669,6.795103799160257,0.1557288495285878,,,,6.639374949631669,6.715387591072833,0.07601264144116371,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.209296254710962,5.705746760387689,0.49645050567672744,,,,5.209296254710962,5.260486250177936,0.05118999546697456,5.209296254710962,5.166950647993862,-0.04234560671709975,5.209296254710962,5.326021689382591,0.1167254346716291,5.209296254710962,5.277709740697681,0.06841348598671892,5.209296254710962,5.259061724258146,0.04976546954718408,5.209296254710962,5.193626943284318,-0.015669311426643517,5.209296254710962,5.181027907288118,-0.02826834742284401,5.209296254710962,5.161300546933625,-0.04799570777733653,5.209296254710962,5.36502510423955,0.1557288495285878,5.209296254710962,5.1174201943618955,-0.09187606034906626,5.209296254710962,5.2853088961521255,0.07601264144116371,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,4.8723947400772,5.069077597157953,0.19668285708075306,4.8723947400772,4.923584735544175,0.05118999546697456,4.8723947400772,4.8300491333601006,-0.04234560671709975,,,,,,,,,,4.8723947400772,4.856725428650558,-0.01566931142664263,4.8723947400772,4.844126392654356,-0.02826834742284401,,,,4.8723947400772,5.028123589605789,0.15572884952858868,,,,4.8723947400772,4.948407381518365,0.0760126414411646,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.254060724126416,5.750511229803143,0.49645050567672744,5.254060724126416,5.450743581207168,0.19668285708075217,,,,,,,5.254060724126416,5.370786158798045,0.1167254346716291,5.254060724126416,5.322474210113135,0.06841348598671892,5.254060724126416,5.3038261936736,0.04976546954718408,5.254060724126416,5.238391412699772,-0.015669311426643517,5.254060724126416,5.225792376703572,-0.02826834742284401,,,,,,,5.254060724126416,5.162184663777349,-0.09187606034906626,5.254060724126416,5.330073365567579,0.07601264144116371,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.008226437932986,6.204909295013739,0.19668285708075217,6.008226437932986,6.059416433399961,0.05118999546697456,6.008226437932986,5.965880831215887,-0.04234560671709975,,,,,,,,,,6.008226437932986,5.992557126506343,-0.015669311426643517,6.008226437932986,5.9799580905101415,-0.028268347422844897,6.008226437932986,5.96023073015565,-0.04799570777733653,6.008226437932986,6.163955287461574,0.1557288495285878,6.008226437932986,5.916350377583919,-0.09187606034906715,6.008226437932986,6.08423907937415,0.07601264144116371,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.140157661110292,2.6366081667870196,0.49645050567672744,2.140157661110292,2.3368405181910443,0.19668285708075217,,,,,,,2.140157661110292,2.2568830957819213,0.1167254346716291,,,,,,,2.140157661110292,2.124488349683649,-0.015669311426643073,,,,2.140157661110292,2.092161953332956,-0.04799570777733608,2.140157661110292,2.2958865106388804,0.15572884952858823,,,,2.140157661110292,2.2161703025514563,0.07601264144116415,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543275542292088,5.0397260479688155,0.49645050567672744,,,,4.543275542292088,4.594465537759063,0.05118999546697456,4.543275542292088,4.500929935574989,-0.04234560671709886,4.543275542292088,4.660000976963717,0.1167254346716291,4.543275542292088,4.611689028278808,0.06841348598671981,4.543275542292088,4.593041011839272,0.04976546954718408,4.543275542292088,4.5276062308654454,-0.01566931142664263,4.543275542292088,4.515007194869244,-0.02826834742284401,4.543275542292088,4.4952798345147515,-0.04799570777733653,4.543275542292088,4.699004391820677,0.15572884952858868,4.543275542292088,4.451399481943022,-0.09187606034906626,4.543275542292088,4.619288183733252,0.07601264144116371,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,6.360477593092802,6.4116675885597765,0.05118999546697456,6.360477593092802,6.318131986375702,-0.04234560671709975,6.360477593092802,6.477203027764431,0.1167254346716291,6.360477593092802,6.428891079079522,0.06841348598671981,6.360477593092802,6.410243062639986,0.04976546954718408,6.360477593092802,6.344808281666159,-0.01566931142664263,6.360477593092802,6.332209245669958,-0.02826834742284401,6.360477593092802,6.312481885315465,-0.04799570777733653,6.360477593092802,6.516206442621391,0.15572884952858868,6.360477593092802,6.268601532743736,-0.09187606034906626,6.360477593092802,6.436490234533966,0.07601264144116371,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.577300978117087,5.0737514837938145,0.49645050567672744,4.577300978117087,4.773983835197839,0.19668285708075217,4.577300978117087,4.628490973584062,0.05118999546697456,4.577300978117087,4.534955371399987,-0.04234560671709975,4.577300978117087,4.694026412788716,0.1167254346716291,4.577300978117087,4.645714464103806,0.06841348598671892,4.577300978117087,4.627066447664271,0.04976546954718408,4.577300978117087,4.5616316666904435,-0.015669311426643517,4.577300978117087,4.549032630694243,-0.02826834742284401,4.577300978117087,4.5293052703397505,-0.04799570777733653,4.577300978117087,4.733029827645675,0.1557288495285878,4.577300978117087,4.485424917768021,-0.09187606034906626,4.577300978117087,4.653313619558251,0.07601264144116371,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,4.187083157623007,4.38376601470376,0.19668285708075217,4.187083157623007,4.238273153089982,0.05118999546697456,4.187083157623007,4.144737550905908,-0.04234560671709975,,,,4.187083157623007,4.255496643609727,0.06841348598671981,4.187083157623007,4.2368486271701915,0.04976546954718408,4.187083157623007,4.171413846196365,-0.01566931142664263,4.187083157623007,4.158814810200163,-0.02826834742284401,4.187083157623007,4.139087449845671,-0.04799570777733653,4.187083157623007,4.342812007151595,0.1557288495285878,4.187083157623007,4.095207097273941,-0.09187606034906626,4.187083157623007,4.263095799064171,0.07601264144116371,22.0
