Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,914.5529419957903,923.4275153541522,8.874573358361886,914.5529419957903,915.6188364216895,1.0658944258991596,914.5529419957903,970.2206490530847,55.667707057294365,914.5529419957903,997.6756369899124,83.12269499412207,914.5529419957903,1093.0968931747911,178.54395117900083,914.5529419957903,1120.9366923151633,206.383750319373,914.5529419957903,910.9346129385722,-3.6183290572181477,914.5529419957903,931.447441925665,16.894499929874655,914.5529419957903,881.2387510511787,-33.314190944611596,914.5529419957903,952.1643315606126,37.611389564822275,,,,914.5529419957903,922.7490954606958,8.196153464905478,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,760.8917232766755,975.3428592806904,214.45113600401487,,,,760.8917232766755,760.0504952952122,-0.8412279814633621,760.8917232766755,767.4080305396676,6.516307262992086,760.8917232766755,856.4957151618977,95.60399188522217,760.8917232766755,940.878476072535,179.9867527958595,760.8917232766755,771.1773003666385,10.285577089962999,760.8917232766755,761.4150849215622,0.5233616448866769,760.8917232766755,766.8574030074452,5.965679730769693,760.8917232766755,745.2026141766142,-15.689109100061273,760.8917232766755,763.2800958189495,2.3883725422739417,760.8917232766755,739.4999586188927,-21.3917646577828,760.8917232766755,778.5003116856766,17.608588409001072,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1100.8542029817522,1114.5582691318284,13.704066150076187,1100.8542029817522,1061.3240596730325,-39.530143308719744,1100.8542029817522,1124.522963866458,23.668760884705762,,,,,,,,,,1100.8542029817522,1088.463889870676,-12.390313111076239,1100.8542029817522,1075.5883114815692,-25.26589150018299,,,,1100.8542029817522,1091.7543087191982,-9.099894262554017,,,,1100.8542029817522,1086.7418917587268,-14.112311223025472,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0817793517521,787.1250709798545,24.043291628102452,763.0817793517521,761.6966866929146,-1.3850926588374932,,,,,,,763.0817793517521,880.3506264169923,117.26884706524027,763.0817793517521,894.6820335722767,131.60025422052468,763.0817793517521,764.8431665094336,1.7613871576814972,763.0817793517521,798.4098676219329,35.32808827018084,763.0817793517521,786.9515474044133,23.869768052661243,,,,,,,763.0817793517521,762.1984175268286,-0.8833618249234405,763.0817793517521,802.8258240433203,39.744044691568206,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1145.9583013262525,1149.633971485916,3.6756701596634684,1145.9583013262525,1134.3758061269089,-11.582495199343612,1145.9583013262525,1146.687250888035,0.7289495617824286,,,,,,,,,,1145.9583013262525,1132.0004936473579,-13.957807678894596,1145.9583013262525,1148.5717247552277,2.6134234289752385,1145.9583013262525,1138.2569704819623,-7.701330844290169,1145.9583013262525,1119.2483322250032,-26.70996910124927,1145.9583013262525,1127.111602968015,-18.846698358237518,1145.9583013262525,1124.568859469597,-21.389441856655367,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,745.9230838787921,748.4003194722192,2.4772355934270536,745.9230838787921,772.6051579764978,26.68207409770571,,,,,,,745.9230838787921,797.8722949365157,51.94921105772357,,,,,,,745.9230838787921,747.6756026754822,1.752518796690083,,,,745.9230838787921,742.2467021245234,-3.676381754268732,745.9230838787921,755.0406382496981,9.117554370905964,,,,745.9230838787921,749.6291347834065,3.706050904614358,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.5994216507878,662.8679899142433,12.26856826345545,,,,650.5994216507878,658.235842121449,7.6364204706611645,650.5994216507878,663.4074027940537,12.80798114326592,650.5994216507878,786.0078944194444,135.40847276865657,650.5994216507878,798.1695237143531,147.5701020635653,650.5994216507878,658.7182946624011,8.118873011613346,650.5994216507878,638.5065763048979,-12.092845345889941,650.5994216507878,660.9273864324613,10.327964781673472,650.5994216507878,660.040667637088,9.441245986300146,650.5994216507878,654.5549395042966,3.955517853508809,650.5994216507878,649.7147219815761,-0.8846996692117273,650.5994216507878,653.2175632744024,2.6181416236146333,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,816.8481775114831,817.0090601775642,0.16088266608107915,816.8481775114831,888.1370302785492,71.28885276706615,816.8481775114831,900.8311129248617,83.98293541337864,816.8481775114831,951.665667421274,134.81748990979088,816.8481775114831,1006.3738440669431,189.52566655546002,816.8481775114831,817.7247901085713,0.8766125970881831,816.8481775114831,822.7944924530577,5.946314941574656,816.8481775114831,779.234084054188,-37.6140934572951,816.8481775114831,862.278367987561,45.43019047607788,816.8481775114831,802.6669586947717,-14.181218816711407,816.8481775114831,842.2512463843549,25.403068872871813,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.8909544221195,1015.2951966664895,302.4042422443699,712.8909544221195,699.3242519742125,-13.566702447907005,712.8909544221195,707.8913426269027,-4.999611795216879,712.8909544221195,725.0631644598992,12.172210037779678,712.8909544221195,726.8909316631824,13.99997724106288,712.8909544221195,722.7963924199616,9.905437997842114,712.8909544221195,713.0758361791615,0.18488175704192145,712.8909544221195,714.5574180425613,1.666463620441732,712.8909544221195,731.8130523832303,18.922097961110808,712.8909544221195,700.1123976676533,-12.778556754466194,712.8909544221195,738.5550716187806,25.664117196661095,712.8909544221195,697.170237705069,-15.72071671705055,712.8909544221195,732.5017324403075,19.610778018187943,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,890.0452196071875,902.0306831126013,11.985463505413804,890.0452196071875,860.7954377986091,-29.249781808578405,890.0452196071875,913.8213381182654,23.776118511077925,,,,890.0452196071875,888.2466308332772,-1.7985887739102964,890.0452196071875,886.7337466786679,-3.3114729285196063,890.0452196071875,893.7971241030704,3.7519044958828545,890.0452196071875,896.7525287622539,6.707309155066355,890.0452196071875,854.2169872647036,-35.82823234248394,890.0452196071875,917.8753641266547,27.83014451946724,890.0452196071875,851.7867952404694,-38.258424366718145,890.0452196071875,913.5193060534626,23.474086446275123,22.0
6.0,2.0,3.0,1.0,7.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,8.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,635.8791549150708,673.5842479753035,37.705093060232684,635.8791549150708,644.816869004569,8.937714089498172,635.8791549150708,646.4715104191249,10.592355504054126,635.8791549150708,637.1179575159379,1.238802600867075,635.8791549150708,672.8768943673866,36.99773945231584,635.8791549150708,692.1436798592557,56.26452494418493,635.8791549150708,648.5645975177106,12.685442602639796,635.8791549150708,644.3633102587173,8.484155343646535,635.8791549150708,654.1739744333258,18.294819518255053,635.8791549150708,633.6074121348528,-2.2717427802180055,635.8791549150708,683.8807183181117,48.001563403040905,635.8791549150708,619.670600559941,-16.208554355129763,635.8791549150708,654.1789253697804,18.299770454709574,24.0
3.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,7.0,4.0,3.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,774.1501921152772,928.8685977958825,154.71840568060531,,,,774.1501921152772,773.3435331631786,-0.8066589520985872,774.1501921152772,782.3743937520152,8.22420163673803,774.1501921152772,835.2113082013658,61.061116086088646,774.1501921152772,961.1747102022948,187.02451808701767,774.1501921152772,861.8923978832058,87.74220576792868,774.1501921152772,775.3641309720643,1.2139388567871947,774.1501921152772,794.8589987578799,20.70880664260278,774.1501921152772,757.519591952722,-16.630600162555197,774.1501921152772,801.4161543858934,27.265962270616228,774.1501921152772,739.4101627370036,-34.74002937827356,774.1501921152772,803.4781430361627,29.32795092088554,20.0
7.0,2.0,1.0,1.0,7.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,10.0,5.0,5.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1047.7710591563819,1058.1566871595858,10.38562800320392,,,,,,,1047.7710591563819,1057.4168315176723,9.645772361290483,1047.7710591563819,1072.1223170703292,24.351257913947393,,,,1047.7710591563819,1052.3474764530047,4.576417296622822,1047.7710591563819,1056.6200460392809,8.848986882898998,1047.7710591563819,1042.0191168891795,-5.751942267202367,,,,1047.7710591563819,1035.1685312255431,-12.602527930838733,,,,24.0
5.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,3.0,4.0,7.0,4.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2611411081067,910.0473737503121,3.786232642205391,906.2611411081067,886.9611898551569,-19.299951252949768,906.2611411081067,892.3726169286903,-13.888524179416436,906.2611411081067,913.5784317026381,7.317290594531414,,,,,,,906.2611411081067,956.4763917100626,50.21525060195586,906.2611411081067,917.9972456221534,11.736104514046701,,,,906.2611411081067,888.7502396561093,-17.51090145199737,906.2611411081067,899.9716615078562,-6.289479600250502,906.2611411081067,873.6297922900395,-32.63134881806718,906.2611411081067,920.2183293689174,13.957188260810653,14.0
5.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.8131291064682,628.9066399434744,10.093510837006193,618.8131291064682,639.2210136691699,20.407884562701724,618.8131291064682,662.384071641754,43.57094253528578,618.8131291064682,623.9676207844087,5.154491677940541,618.8131291064682,652.2596339804049,33.44650487393676,618.8131291064682,760.1163602895809,141.30323118311276,618.8131291064682,714.7517020662209,95.93857295975272,618.8131291064682,538.1815979605551,-80.63153114591307,618.8131291064682,603.8714934097663,-14.941635696701837,618.8131291064682,626.3274228911279,7.514293784659685,618.8131291064682,605.5709166305513,-13.242212475916858,618.8131291064682,608.4615449434662,-10.35158416300203,618.8131291064682,612.7589918421922,-6.054137264275937,11.0
