Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.325226561484457,6.3571046632312855,0.03187810174682859,6.325226561484457,6.218396610750954,-0.10682995073350288,6.325226561484457,6.413320372441432,0.0880938109569751,6.325226561484457,6.3338917143042615,0.008665152819804511,6.325226561484457,6.482387021153607,0.15716045966915004,6.325226561484457,6.460039883441737,0.1348133219572798,6.325226561484457,6.264007007380039,-0.06121955410441782,6.325226561484457,6.289510317162302,-0.035716244322155255,6.325226561484457,6.2589503030778335,-0.06627625840662343,6.325226561484457,6.327215699964309,0.0019891384798524925,,,,6.325226561484457,6.264453703793694,-0.060772857690762905,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.679612615752359,6.241203017456863,0.5615904017045041,,,,5.679612615752359,5.711495097815474,0.03188248206311517,5.679612615752359,5.539970896993731,-0.13964171875862785,5.679612615752359,5.611971235923864,-0.06764137982849494,5.679612615752359,5.8288878156451425,0.14927519989278348,5.679612615752359,5.856951942992849,0.17733932724048973,5.679612615752359,5.67058162188268,-0.009030993869679094,5.679612615752359,5.617075603736296,-0.06253701201606265,5.679612615752359,5.50582466198356,-0.17378795376879896,5.679612615752359,5.747521504064815,0.06790888831245567,5.679612615752359,5.682529404354755,0.002916788602395748,5.679612615752359,5.561663250007503,-0.11794936574485604,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,5.408289327052547,5.4980398343645085,0.08975050731196177,5.408289327052547,5.47142502696931,0.0631356999167636,5.408289327052547,5.346098986735387,-0.06219034031715953,,,,,,,,,,5.408289327052547,5.3230035307848125,-0.08528579626773425,5.408289327052547,5.190724271586967,-0.21756505546558014,,,,5.408289327052547,5.35307252153511,-0.05521680551743646,,,,5.408289327052547,5.2862238923780795,-0.12206543467446718,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2404040914676475,5.50062660102858,0.26022250956093274,5.2404040914676475,5.234011257621687,-0.006392833845960233,,,,,,,5.2404040914676475,5.303198353500519,0.0627942620328712,5.2404040914676475,5.416785885220489,0.17638179375284135,5.2404040914676475,5.3699124110472045,0.129508319579557,5.2404040914676475,5.595570868411529,0.3551667769438813,5.2404040914676475,5.24234298841328,0.001938896945632429,,,,,,,5.2404040914676475,5.2304142397067785,-0.009989851760868973,5.2404040914676475,5.211681627075423,-0.028722464392224367,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.569666879008791,6.650440844799051,0.08077396579025997,6.569666879008791,6.511145286813118,-0.05852159219567277,6.569666879008791,6.296979686740604,-0.2726871922681866,,,,,,,,,,6.569666879008791,6.57390706034582,0.004240181337029192,6.569666879008791,6.462323554786698,-0.10734332422209292,6.569666879008791,6.580709260469617,0.011042381460826256,6.569666879008791,6.488142379157001,-0.08152449985179011,6.569666879008791,6.506876183620726,-0.06279069538806503,6.569666879008791,6.50382061688009,-0.0658462621287006,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.734262484372263,3.772433964164032,0.03817147979176916,3.734262484372263,4.00590307661797,0.2716405922457068,,,,,,,3.734262484372263,3.915949453267166,0.181686968894903,,,,,,,3.734262484372263,3.623051006445544,-0.11121147792671904,,,,3.734262484372263,3.6852813896506107,-0.04898109472165224,3.734262484372263,3.7900071500879458,0.05574466571568282,,,,3.734262484372263,3.695089632818304,-0.03917285155395911,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491229933539364,4.6566453901550835,0.16541545661571977,,,,4.491229933539364,4.439489149268716,-0.0517407842706481,4.491229933539364,4.539733319560083,0.048503386020719574,4.491229933539364,4.586862317294776,0.0956323837554125,4.491229933539364,4.573396754335774,0.08216682079641036,4.491229933539364,4.548974644231743,0.057744710692379186,4.491229933539364,4.319412726606072,-0.17181720693329172,4.491229933539364,4.318934999618159,-0.17229493392120432,4.491229933539364,4.455656990361259,-0.035572943178104666,4.491229933539364,4.681294702224887,0.1900647686855237,4.491229933539364,4.639797175935568,0.14856724239620434,4.491229933539364,4.5657359527715915,0.07450601923222777,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,6.266612974510892,6.20399550886531,-0.06261746564558202,6.266612974510892,6.373308604988391,0.10669563047749886,6.266612974510892,6.275211115946097,0.008598141435204987,6.266612974510892,6.335943943344391,0.06933096883349954,6.266612974510892,6.332620036361983,0.06600706185109129,6.266612974510892,6.232299216971903,-0.03431375753898891,6.266612974510892,6.159968957598453,-0.10664401691243874,6.266612974510892,6.076617107502898,-0.18999586700799398,6.266612974510892,6.239464511639578,-0.027148462871314116,6.266612974510892,6.06682943089396,-0.19978354361693196,6.266612974510892,6.269223331645645,0.0026103571347535492,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628565631803872,5.669165830610068,1.040600198806196,4.628565631803872,4.596672033790147,-0.03189359801372493,4.628565631803872,4.575716009757915,-0.05284962204595711,4.628565631803872,4.777420263561216,0.14885463175734337,4.628565631803872,4.446824031104348,-0.1817416006995245,4.628565631803872,4.451211688759313,-0.17735394304455898,4.628565631803872,4.7946940455099085,0.16612841370603615,4.628565631803872,4.521676795109415,-0.10688883669445737,4.628565631803872,4.460792960543374,-0.1677726712604981,4.628565631803872,4.478922986272253,-0.14964264553161932,4.628565631803872,4.790404360854353,0.1618387290504808,4.628565631803872,4.618945049763161,-0.00962058204071159,4.628565631803872,4.706034106079826,0.07746847427595327,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,4.673761702687287,4.765331732642957,0.09157002995566987,4.673761702687287,4.547905147549419,-0.12585655513786786,4.673761702687287,4.698305131770091,0.02454342908280438,,,,4.673761702687287,4.751683057348655,0.07792135466136774,4.673761702687287,4.692088422223662,0.018326719536375435,4.673761702687287,4.726081590226219,0.05231988753893191,4.673761702687287,4.346840168370045,-0.3269215343172416,4.673761702687287,4.43628769559443,-0.2374740070928567,4.673761702687287,4.957222711471542,0.28346100878425506,4.673761702687287,4.648470539311022,-0.02529116337626469,4.673761702687287,4.83597282568447,0.1622111229971832,22.0
