Age9,Disab2_POP,Educ6,NSSEC5,IMD10,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,Gend3_2.0,Gend3_3.0,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Child4_2.0,Child4_3.0,Child4_4.0,WorkStat8_1.0,WorkStat8_2.0,WorkStat8_3.0,WorkStat8_4.0,WorkStat8_5.0,WorkStat8_6.0,WorkStat8_7.0,HHLiv9_1.0,HHLiv9_2.0,HHLiv9_3.0,HHLiv9_4.0,HHLiv9_5.0,HHLiv9_6.0,HHLiv9_7.0,HHLiv9_8.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
6.0,2.0,1.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,4.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.4593123560799315,6.465350418221464,0.00603806214153213,6.4593123560799315,6.361622814335216,-0.09768954174471567,6.4593123560799315,6.4593123560799315,0.0,6.4593123560799315,6.425060180313493,-0.03425217576643824,6.4593123560799315,6.568166932779826,0.10885457669989496,6.4593123560799315,6.628696431722288,0.16938407564235636,6.4593123560799315,6.4824279974584025,0.023115641378470997,6.4593123560799315,6.308834899161782,-0.15047745691814907,6.4593123560799315,6.400023416488037,-0.05928893959189452,6.4593123560799315,6.395479659210065,-0.06383269686986637,,,,6.4593123560799315,6.408514652493221,-0.050797703586710874,10.0
6.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.759757349128394,6.067405982182138,0.307648633053744,,,,5.759757349128394,5.741324227033296,-0.018433122095098398,5.759757349128394,5.6704853486302635,-0.08927200049813067,5.759757349128394,5.739819823118039,-0.019937526010354922,5.759757349128394,5.928190598622045,0.1684332494936509,5.759757349128394,6.027357321710492,0.2675999725820981,5.759757349128394,5.703984206511014,-0.05577314261738042,5.759757349128394,5.759757349128394,0.0,5.759757349128394,5.57105890976583,-0.18869843936256459,5.759757349128394,5.78143273627146,0.02167538714306616,5.759757349128394,5.663742822883196,-0.0960145262451979,5.759757349128394,5.834135410139984,0.07437806101158984,10.0
6.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,8.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,4.93537446223701,4.976572490340992,0.041198028103981876,4.93537446223701,5.041942507997028,0.10656804576001822,4.93537446223701,4.93537446223701,0.0,,,,,,,,,,4.93537446223701,4.867337102584071,-0.06803735965293889,4.93537446223701,4.767209050006482,-0.16816541223052806,,,,4.93537446223701,5.037181021096979,0.10180655885996881,,,,4.93537446223701,4.9664199312543,0.031045469017289662,10.0
6.0,2.0,1.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,5.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.389395022811099,5.611734126959644,0.22233910414854474,5.389395022811099,5.463425727919462,0.0740307051083624,,,,,,,5.389395022811099,5.384662135957622,-0.004732886853477503,5.389395022811099,5.596462775641634,0.20706775283053513,5.389395022811099,5.597928360491267,0.20853333768016746,5.389395022811099,5.628735033981538,0.23934001117043913,5.389395022811099,5.237272504992111,-0.152122517818988,,,,,,,5.389395022811099,5.375684008024887,-0.013711014786212061,5.389395022811099,5.44794020336137,0.05854518055027125,6.0
4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,6.546101760529674,6.64933615988222,0.10323439935254619,6.546101760529674,6.4871120997128005,-0.058989660816873624,6.546101760529674,6.3540025813241074,-0.19209917920556663,,,,,,,,,,6.546101760529674,6.522607739921694,-0.02349402060797967,6.546101760529674,6.466885281559308,-0.07921647897036621,6.546101760529674,6.528360229686798,-0.01774153084287633,6.546101760529674,6.532055086011489,-0.014046674518184865,6.546101760529674,6.549583652713294,0.003481892183620161,6.546101760529674,6.545928832715928,-0.0001729278137458934,20.0
5.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6554075883142594,3.520444838650222,-0.13496274966403732,3.6554075883142594,4.0441762891434765,0.3887687008292171,,,,,,,3.6554075883142594,3.7115130657656024,0.05610547745134298,,,,,,,3.6554075883142594,3.657008500808304,0.001600912494044593,,,,3.6554075883142594,3.4873803801329903,-0.16802720818126904,3.6554075883142594,3.6715423261399485,0.016134737825689083,,,,3.6554075883142594,3.667757639011158,0.012350050696898762,22.0
5.0,2.0,1.0,1.0,10.0,3.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.860743709145585,4.989441159035024,0.12869744988943843,,,,4.860743709145585,4.83850508673797,-0.022238622407614983,4.860743709145585,4.860743709145585,0.0,4.860743709145585,4.874293035532404,0.01354932638681916,4.860743709145585,4.991833734461149,0.13109002531556424,4.860743709145585,4.8807850232310885,0.02004131408550336,4.860743709145585,4.672372445479209,-0.1883712636663759,4.860743709145585,4.446247445153594,-0.4144962639919916,4.860743709145585,4.765465486896704,-0.09527822224888105,4.860743709145585,4.860743709145585,0.0,4.860743709145585,4.846792681287066,-0.013951027858519538,4.860743709145585,4.977698679280965,0.11695497013537981,10.0
4.0,2.0,1.0,1.0,7.0,1.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,6.449576801118296,6.366352065600757,-0.08322473551753884,6.449576801118296,6.449576801118296,0.0,6.449576801118296,6.431487972800006,-0.018088828318290062,6.449576801118296,6.584760499007905,0.1351836978896097,6.449576801118296,6.589636130428719,0.1400593293104233,6.449576801118296,6.398906672643269,-0.05067012847502639,6.449576801118296,6.276408739147795,-0.17316806197050028,6.449576801118296,6.296598776465164,-0.15297802465313204,6.449576801118296,6.532762142363696,0.08318534124540022,6.449576801118296,6.279365008410436,-0.17021179270785947,6.449576801118296,6.438106469690119,-0.01147033142817655,22.0
3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.050154900529098,5.445079608164176,1.3949247076350773,4.050154900529098,4.392343887742297,0.34218898721319846,4.050154900529098,3.994556260958326,-0.0555986395707726,4.050154900529098,4.034690759483207,-0.015464141045891111,4.050154900529098,4.050154900529098,0.0,4.050154900529098,3.938274048083996,-0.11188085244510226,4.050154900529098,4.121120325277632,0.0709654247485334,4.050154900529098,4.024423859738836,-0.025731040790262227,4.050154900529098,3.706417745907266,-0.34373715462183263,4.050154900529098,3.7980477601259026,-0.2521071404031958,4.050154900529098,3.9953511959976002,-0.05480370453149819,4.050154900529098,4.034998368043083,-0.01515653248601545,4.050154900529098,4.0680785460314315,0.017923645502333052,8.0
3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,4.440193731738544,4.634124233119549,0.1939305013810051,4.440193731738544,4.385767712512649,-0.05442601922589496,4.440193731738544,4.352086241645935,-0.0881074900926091,,,,4.440193731738544,4.385902415396709,-0.05429131634183548,4.440193731738544,4.520447016672225,0.080253284933681,4.440193731738544,4.393134518250005,-0.0470592134885397,4.440193731738544,4.1251251981077734,-0.3150685336307708,4.440193731738544,4.19545021977664,-0.24474351196190458,4.440193731738544,4.637805406716052,0.19761167497750787,4.440193731738544,4.374371014487318,-0.06582271725122624,4.440193731738544,4.54179136192628,0.10159763018773571,22.0
