DIFFERENCE_Motiva_POP,DIFFERENCE_motivd_POP,DIFFERENCE_indev,DIFFERENCE_indevtry,DIFFERENCE_inclus_a,DIFFERENCE_inclus_b,DIFFERENCE_inclus_c,DIFFERENCE_comm1,DIFFERENCE_comm2,DIFFERENCE_anxious,DIFFERENCE_happy,DIFFERENCE_lone,DIFFERENCE_worthw
20,29,29,26,26,30,29,33,28,25,31,26,32
66,73,104,100,101,110,105,122,110,113,114,113,114
18,22,22,21,22,23,20,21,23,22,24,20,24
26,24,32,34,29,33,29,38,34,31,31,34,33
30,31,40,35,29,33,32,39,35,37,41,36,37
11,11,14,15,12,13,12,15,14,9,13,14,13
30,24,31,30,31,32,28,36,34,26,30,30,32
91,133,160,148,145,158,151,176,154,160,173,141,164
45,79,86,88,86,82,84,102,94,94,101,99,94
27,25,32,30,29,28,30,31,30,28,32,29,31
45,78,83,82,76,85,75,97,82,73,88,73,89
42,47,53,49,44,47,45,57,49,36,50,41,52
18,13,21,22,20,19,16,22,20,17,19,20,21
55,59,61,59,57,60,53,63,59,43,55,50,56
77,72,105,105,99,99,103,118,101,106,116,105,111
10,11,10,10,11,11,11,13,9,8,10,11,10
44,44,56,55,52,55,53,61,58,54,56,52,56
19,26,27,29,28,29,29,30,28,33,32,33,31
22,18,24,23,25,26,24,30,28,27,29,30,29
15,19,23,25,23,23,22,28,23,21,23,21,20
108,148,166,168,163,163,159,194,181,185,195,180,186
36,30,38,44,39,42,42,48,47,42,44,43,41
58,60,76,76,71,74,75,83,77,74,81,66,71
42,41,44,41,38,43,39,45,41,33,40,30,41
128,145,158,163,138,149,137,177,161,144,166,138,162
