Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
0,2.7%,"35–44 (40%), 45–54 (36%), 25–34 (15%)","Male (93%), Female (7%), Other (0%)","Asian (excl. Chinese) (32%), White British (30%), White Other (19%)","No disability (90%), Disability (10%)","Level 4 or above (39%), Level 2 and equivalents (20%), Level 3 and equivalents (19%)","NS SEC 3–5: Middle social groups (53%), NS SEC 6–8: Lower social groups (22%), NS SEC 1–2: Higher social groups (19%)","Second most deprived decile (24%), Third most deprived decile (17%), Fourth most deprived decile (13%)","Working full time (72%), Working part time (13%), Unemployed (7%)","1 child (43%), 2 children (39%), 3 or more children (18%)","Couple with children (81%), Other/complex household (9%), Lone parent family (6%)","Agree (42%), Strongly agree (35%), Neither agree nor disagree (16%)","Disagree (41%), Strongly disagree (28%), Neither agree nor disagree (20%)"
1,1.8%,"55–64 (32%), 45–54 (23%), 35–44 (18%)","Female (55%), Male (45%), Other (0%)","White British (41%), Asian (excl. Chinese) (19%), Black (15%)","No disability (61%), Disability (39%)","Level 4 or above (41%), Level 2 and equivalents (20%), No qualifications (14%)","NS SEC 6–8: Lower social groups (89%), NS SEC 3–5: Middle social groups (7%), NS SEC 1–2: Higher social groups (3%)","Second most deprived decile (25%), Third most deprived decile (18%), Most deprived decile (14%)","Unemployed (71%), Working part time (18%), Not working-long term sick or disabled (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (46%), Couple, no children (18%), Living with parents (10%)","Agree (44%), Strongly agree (24%), Neither agree nor disagree (20%)","Disagree (43%), Strongly disagree (26%), Neither agree nor disagree (19%)"
2,10.4%,"65–74 (73%), 55–64 (27%), 16–24 (0%)","Female (51%), Male (49%), Other (0%)","White British (81%), White Other (9%), Asian (excl. Chinese) (4%)","No disability (86%), Disability (14%)","Level 4 or above (80%), Level 2 and equivalents (8%), Level 3 and equivalents (8%)","NS SEC 1–2: Higher social groups (84%), NS SEC 3–5: Middle social groups (14%), NS SEC 9: Students and other / unclassified (2%)","Second least deprived decile (15%), Third least deprived decile (13%), Fifth least deprived decile (12%)","Not working-retired (75%), Working part time (17%), Working full time (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (52%), Single person living alone (33%), Couple with adult children (8%)","Agree (42%), Strongly agree (31%), Neither agree nor disagree (18%)","Disagree (45%), Strongly disagree (31%), Neither agree nor disagree (19%)"
3,1.3%,"16–24 (89%), 25–34 (10%), 35–44 (1%)","Female (52%), Male (47%), Other (1%)","White British (28%), Asian (excl. Chinese) (26%), Black (19%)","No disability (89%), Disability (11%)","Level 3 and equivalents (40%), Level 2 and equivalents (26%), Level 4 or above (25%)","NS SEC 6–8: Lower social groups (48%), NS SEC 1–2: Higher social groups (29%), NS SEC 3–5: Middle social groups (21%)","Second most deprived decile (27%), Third most deprived decile (18%), Fourth most deprived decile (13%)","Working part time (43%), Unemployed (29%), Working full time (15%)","None (50%), 1 child (31%), 2 children (13%)","Living with parents (74%), Other/complex household (18%), Lone parent family (3%)","Agree (39%), Strongly agree (39%), Neither agree nor disagree (13%)","Disagree (36%), Strongly disagree (33%), Neither agree nor disagree (18%)"
4,8.9%,"35–44 (51%), 45–54 (33%), 25–34 (11%)","Male (78%), Female (22%), Other (0%)","White British (51%), Asian (excl. Chinese) (20%), White Other (18%)","No disability (97%), Disability (3%)","Level 4 or above (92%), Level 3 and equivalents (5%), Level 2 and equivalents (2%)","NS SEC 1–2: Higher social groups (94%), NS SEC 3–5: Middle social groups (5%), NS SEC 9: Students and other / unclassified (0%)","Fifth most deprived decile (12%), Third most deprived decile (12%), Fourth most deprived decile (12%)","Working full time (92%), Working part time (4%), Not working-looking after house/children (2%)","2 children (47%), 1 child (44%), 3 or more children (9%)","Couple with children (92%), Lone parent family (4%), Other/complex household (2%)","Strongly agree (50%), Agree (38%), Neither agree nor disagree (8%)","Disagree (44%), Strongly disagree (31%), Neither agree nor disagree (17%)"
5,2.2%,"16–24 (48%), 25–34 (41%), 35–44 (9%)","Female (64%), Male (36%), Other (1%)","White British (67%), White Other (15%), Asian (excl. Chinese) (7%)","No disability (85%), Disability (15%)","Level 4 or above (66%), Level 3 and equivalents (27%), Level 2 and equivalents (6%)","NS SEC 1–2: Higher social groups (55%), NS SEC 3–5: Middle social groups (34%), NS SEC 6–8: Lower social groups (10%)","Second most deprived decile (14%), Third most deprived decile (13%), Fourth most deprived decile (13%)","Working full time (72%), Working part time (17%), Unemployed (8%)","None (98%), 1 child (2%), 2 children (0%)","Living with parents (49%), Houseshare (25%), Couple, no children (13%)","Agree (39%), Strongly agree (35%), Neither agree nor disagree (13%)","Disagree (39%), Strongly disagree (35%), Neither agree nor disagree (12%)"
6,3.1%,"35–44 (45%), 25–34 (32%), 45–54 (18%)","Female (96%), Male (4%), Other (0%)","Asian (excl. Chinese) (28%), White British (27%), Black (17%)","No disability (81%), Disability (19%)","Level 4 or above (34%), Level 2 and equivalents (22%), Level 3 and equivalents (19%)","NS SEC 6–8: Lower social groups (50%), NS SEC 3–5: Middle social groups (21%), NS SEC 1–2: Higher social groups (17%)","Second most deprived decile (30%), Third most deprived decile (20%), Most deprived decile (15%)","Not working-looking after house/children (35%), Working part time (29%), Unemployed (18%)","1 child (39%), 2 children (36%), 3 or more children (25%)","Couple with children (49%), Lone parent family (39%), Other/complex household (7%)","Agree (44%), Strongly agree (24%), Neither agree nor disagree (21%)","Disagree (44%), Strongly disagree (30%), Neither agree nor disagree (17%)"
7,8.2%,"55–64 (59%), 45–54 (36%), 65–74 (4%)","Male (52%), Female (48%), Other (0%)","White British (72%), White Other (13%), Asian (excl. Chinese) (8%)","No disability (93%), Disability (7%)","Level 4 or above (87%), Level 3 and equivalents (8%), Level 2 and equivalents (4%)","NS SEC 1–2: Higher social groups (90%), NS SEC 3–5: Middle social groups (9%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (15%), Fifth most deprived decile (13%), Fifth least deprived decile (12%)","Working full time (69%), Working part time (20%), Not working-retired (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (32%), Couple, no children (31%), Single person living alone (27%)","Strongly agree (41%), Agree (39%), Neither agree nor disagree (13%)","Disagree (45%), Strongly disagree (34%), Neither agree nor disagree (16%)"
8,3.7%,"55–64 (40%), 45–54 (32%), 35–44 (12%)","Male (75%), Female (25%), Other (0%)","White British (64%), White Other (13%), Asian (excl. Chinese) (10%)","No disability (95%), Disability (5%)","Level 2 and equivalents (36%), Level 3 and equivalents (25%), Level 4 or above (16%)","NS SEC 3–5: Middle social groups (56%), NS SEC 1–2: Higher social groups (21%), NS SEC 6–8: Lower social groups (19%)","Second most deprived decile (19%), Third most deprived decile (16%), Fourth most deprived decile (14%)","Working full time (82%), Working part time (9%), Other (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (36%), Single person living alone (29%), Couple with adult children (19%)","Agree (39%), Strongly agree (28%), Neither agree nor disagree (25%)","Disagree (41%), Neither agree nor disagree (26%), Strongly disagree (25%)"
9,5.6%,"35–44 (57%), 45–54 (27%), 25–34 (15%)","Female (100%), Male (0%), Other (0%)","White British (57%), White Other (20%), Asian (excl. Chinese) (15%)","No disability (95%), Disability (5%)","Level 4 or above (86%), Level 3 and equivalents (8%), Level 2 and equivalents (5%)","NS SEC 1–2: Higher social groups (78%), NS SEC 3–5: Middle social groups (20%), NS SEC 6–8: Lower social groups (1%)","Second least deprived decile (14%), Fourth least deprived decile (12%), Third least deprived decile (12%)","Working part time (49%), Not working-looking after house/children (24%), Working full time (22%)","2 children (52%), 1 child (36%), 3 or more children (12%)","Couple with children (93%), Lone parent family (4%), Other/complex household (2%)","Agree (46%), Strongly agree (30%), Neither agree nor disagree (13%)","Disagree (49%), Strongly disagree (30%), Neither agree nor disagree (15%)"
