LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
1.0,114.0,652.5,2022 - 2023
2.0,126.0,337.5,2022 - 2023
2.0,9.0,1830.0,2022 - 2023
2.0,9.0,45.0,2022 - 2023
2.0,129.0,0.0,2022 - 2023
2.0,139.0,0.0,2022 - 2023
2.0,160.0,157.5,2022 - 2023
2.0,160.0,41.25,2022 - 2023
1.0,171.0,3435.0,2022 - 2023
2.0,8.0,2800.0,2022 - 2023
2.0,35.0,507.5,2022 - 2023
2.0,35.0,157.5,2022 - 2023
1.0,109.0,540.0,2022 - 2023
2.0,122.0,120.0,2022 - 2023
2.0,201.0,416.25,2022 - 2023
1.0,112.0,45.0,2022 - 2023
2.0,126.0,2025.0,2022 - 2023
1.0,142.0,0.0,2022 - 2023
2.0,160.0,30.0,2022 - 2023
1.0,241.0,285.0,2022 - 2023
1.0,293.0,525.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,17.0,300.0,2022 - 2023
1.0,44.0,1290.0,2022 - 2023
1.0,44.0,1260.0,2022 - 2023
2.0,68.0,1350.0,2022 - 2023
1.0,109.0,0.0,2022 - 2023
2.0,129.0,581.25,2022 - 2023
2.0,129.0,945.0,2022 - 2023
2.0,129.0,210.0,2022 - 2023
2.0,129.0,0.0,2022 - 2023
1.0,135.0,0.0,2022 - 2023
2.0,139.0,270.0,2022 - 2023
2.0,139.0,150.0,2022 - 2023
1.0,147.0,240.0,2022 - 2023
1.0,147.0,420.0,2022 - 2023
1.0,147.0,697.5,2022 - 2023
1.0,147.0,150.0,2022 - 2023
2.0,160.0,0.0,2022 - 2023
1.0,171.0,426.25,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,45.0,2022 - 2023
1.0,293.0,2580.0,2022 - 2023
1.0,59.0,1080.0,2022 - 2023
2.0,8.0,457.5,2022 - 2023
2.0,9.0,37.5,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,17.0,22.5,2022 - 2023
2.0,17.0,420.0,2022 - 2023
2.0,17.0,440.0,2022 - 2023
2.0,30.0,447.5,2022 - 2023
2.0,35.0,150.0,2022 - 2023
1.0,44.0,506.25,2022 - 2023
2.0,68.0,502.5,2022 - 2023
2.0,78.0,1110.0,2022 - 2023
2.0,107.0,0.0,2022 - 2023
2.0,107.0,877.5,2022 - 2023
2.0,107.0,0.0,2022 - 2023
1.0,109.0,356.25,2022 - 2023
1.0,112.0,450.0,2022 - 2023
1.0,112.0,473.75,2022 - 2023
1.0,112.0,157.5,2022 - 2023
1.0,114.0,300.0,2022 - 2023
1.0,114.0,375.0,2022 - 2023
1.0,114.0,0.0,2022 - 2023
