name,amplitude
Barking and Dagenham,125.50766943092401
Barnet,236.48581868490544
Bexley,216.93614728811076
Brent,94.34469591719596
Bromley,201.0499157279835
Camden,208.9461256209181
City of London,
Croydon,204.1181741940266
Ealing,116.76789087546922
Enfield,177.94488793491053
Greenwich,233.18850076887247
Hackney,197.71633045949807
Hammersmith and Fulham,243.71270056929893
Haringey,286.04545728741107
Harrow,181.4125301808176
Havering,187.158712726383
Hillingdon,250.8738276241274
Hounslow,203.8545428197856
Islington,86.6564956068537
Kensington and Chelsea,110.71249184231863
Kingston upon Thames,192.26818586512945
Lambeth,125.42024327055265
Lewisham,210.81280132912661
Merton,134.5602573116288
Newham,116.2738791277111
Redbridge,119.3015774062469
Richmond upon Thames,154.495658880208
Southwark,156.51847477446233
Sutton,136.59907607252444
Tower Hamlets,174.06337573441567
Waltham Forest,104.90948397063153
Wandsworth,176.4167581674227
Westminster,224.3097594923272
