LA_Name,t,MEMS_actual,MEMS_sarima,period
Barking and Dagenham,0,522.8653846153846,,train
Barking and Dagenham,1,457.9606643356643,,train
Barking and Dagenham,2,647.7202702702702,,train
Barking and Dagenham,3,569.2615207373271,,train
Barking and Dagenham,4,583.8003144654089,,train
Barking and Dagenham,5,446.0581395348837,,train
Barking and Dagenham,6,702.5301418439716,,train
Barking and Dagenham,7,874.5555555555555,,train
Barking and Dagenham,8,689.8712871287129,,train
Barking and Dagenham,9,473.29887218045116,,train
Barking and Dagenham,10,652.7685185185185,,train
Barking and Dagenham,11,481.03125,,train
Barking and Dagenham,12,739.1448863636364,,train
Barking and Dagenham,13,542.2631578947369,,train
Barking and Dagenham,14,509.31542056074767,,train
Barking and Dagenham,15,547.6485148514852,,train
Barking and Dagenham,16,434.3333333333333,,train
Barking and Dagenham,17,491.62259615384613,,train
Barking and Dagenham,18,449.55309734513276,,train
Barking and Dagenham,19,667.8550955414013,,train
Barking and Dagenham,20,520.9986559139785,,train
Barking and Dagenham,21,443.5409482758621,,train
Barking and Dagenham,22,656.3956834532374,,train
Barking and Dagenham,23,833.2047413793103,,train
Barking and Dagenham,24,400.0,,train
Barking and Dagenham,25,565.4054054054054,,train
Barking and Dagenham,26,563.6962809917355,,train
Barking and Dagenham,27,633.2946927374302,,train
Barking and Dagenham,28,,517.6608318945994,forecast
Barking and Dagenham,29,,478.8315479563293,forecast
Barking and Dagenham,30,,574.8726011492437,forecast
Barking and Dagenham,31,,633.3958533722711,forecast
Barking and Dagenham,32,,525.3897291484789,forecast
Barking and Dagenham,33,,464.90392980998524,forecast
Barking and Dagenham,34,,571.4609848212393,forecast
Barking and Dagenham,35,,628.7923688574492,forecast
Barking and Dagenham,36,,521.6071462205236,forecast
Barking and Dagenham,37,,458.79065806254295,forecast
Barking and Dagenham,38,,566.4794522979387,forecast
Barking and Dagenham,39,,623.682566674213,forecast
Barking and Dagenham,40,,516.5856900209739,forecast
Barking and Dagenham,41,,453.51837155675605,forecast
Barking and Dagenham,42,,561.3289643324796,forecast
Barking and Dagenham,43,,618.5182742412447,forecast
Barnet,0,581.5048701298701,,train
Barnet,1,496.0391459074733,,train
Barnet,2,576.3825910931174,,train
Barnet,3,643.0941704035874,,train
Barnet,4,523.5076687116565,,train
Barnet,5,607.775641025641,,train
Barnet,6,730.1594488188977,,train
Barnet,7,834.9268867924528,,train
Barnet,8,565.9476351351351,,train
Barnet,9,510.865234375,,train
Barnet,10,614.8175182481751,,train
Barnet,11,589.9285714285714,,train
Barnet,12,479.4522058823529,,train
Barnet,13,529.0523648648649,,train
Barnet,14,634.4510582010582,,train
Barnet,15,632.975,,train
Barnet,16,476.73514851485146,,train
Barnet,17,542.1830985915493,,train
Barnet,18,851.2908653846154,,train
Barnet,19,810.0385906040268,,train
Barnet,20,560.9444444444445,,train
Barnet,21,661.7,,train
Barnet,22,726.1489361702128,,train
Barnet,23,819.4251824817518,,train
Barnet,24,480.5792682926829,,train
Barnet,25,678.1909722222222,,train
Barnet,26,842.138671875,,train
Barnet,27,964.6617647058823,,train
Barnet,28,,641.2616815803959,forecast
Barnet,29,,815.8908297337168,forecast
Barnet,30,,891.698624321072,forecast
Barnet,31,,1012.3749075902065,forecast
Barnet,32,,661.7376501107196,forecast
Barnet,33,,864.5451152972054,forecast
Barnet,34,,973.8110864923358,forecast
Barnet,35,,1106.7031127279263,forecast
Barnet,36,,761.1187975513908,forecast
Barnet,37,,956.8549802350291,forecast
Barnet,38,,1041.7039364446437,forecast
Barnet,39,,1173.667347083592,forecast
Barnet,40,,820.7290806544511,forecast
Barnet,41,,1024.1400908980966,forecast
Barnet,42,,1118.6821196907383,forecast
Barnet,43,,1253.895301363284,forecast
Bexley,0,489.7203947368421,,train
Bexley,1,451.98837209302326,,train
Bexley,2,689.1621621621622,,train
Bexley,3,659.6475409836065,,train
Bexley,4,818.1394230769231,,train
Bexley,5,608.800925925926,,train
Bexley,6,645.3793859649123,,train
Bexley,7,761.6869918699186,,train
Bexley,8,638.1886363636364,,train
Bexley,9,627.7900763358779,,train
Bexley,10,758.55,,train
Bexley,11,662.4391025641025,,train
Bexley,12,575.2068181818182,,train
Bexley,13,510.98376623376623,,train
Bexley,14,685.0,,train
Bexley,15,654.6629213483146,,train
Bexley,16,320.7466216216216,,train
Bexley,17,505.34957627118644,,train
Bexley,18,681.5229166666667,,train
Bexley,19,860.3045112781955,,train
Bexley,20,589.9153225806451,,train
Bexley,21,534.4058641975308,,train
Bexley,22,577.9157894736842,,train
Bexley,23,739.3825757575758,,train
Bexley,24,627.5144628099174,,train
Bexley,25,523.6727272727272,,train
Bexley,26,721.1173076923077,,train
Bexley,27,709.4982394366198,,train
Bexley,28,,583.1811860039047,forecast
Bexley,29,,536.5659739095246,forecast
Bexley,30,,684.6972570332438,forecast
Bexley,31,,716.4717985015538,forecast
Bexley,32,,582.0448694614121,forecast
Bexley,33,,538.7518567672258,forecast
Bexley,34,,682.1611657184446,forecast
Bexley,35,,717.6273105509515,forecast
Bexley,36,,582.4667862166285,forecast
Bexley,37,,539.4580580585082,forecast
Bexley,38,,682.4531705756086,forecast
Bexley,39,,718.2415995562524,forecast
Bexley,40,,583.0168685379618,forecast
Bexley,41,,540.0329651331238,forecast
Bexley,42,,682.9918710635474,forecast
