LCA Class,Variable,Value,London_Mean
0,% Active,56.71,70.57
0,Enjoyment,100.8,99.73
0,Community Trust,51.95,56.88
0,% Disability,90.87,86.75
0,Deprivation,76.12,64.48
1,% Active,61.94,70.57
1,Enjoyment,97.25,99.73
1,Community Trust,51.58,56.88
1,% Disability,88.37,86.75
1,Deprivation,77.23,64.48
2,% Active,76.39,70.57
2,Enjoyment,109.53,99.73
2,Community Trust,61.79,56.88
2,% Disability,97.08,86.75
2,Deprivation,58.11,64.48
3,% Active,70.83,70.57
3,Enjoyment,97.05,99.73
3,Community Trust,60.65,56.88
3,% Disability,94.44,86.75
3,Deprivation,53.73,64.48
4,% Active,60.78,70.57
4,Enjoyment,92.21,99.73
4,Community Trust,51.2,56.88
4,% Disability,90.79,86.75
4,Deprivation,65.85,64.48
5,% Active,69.92,70.57
5,Enjoyment,92.23,99.73
5,Community Trust,60.6,56.88
5,% Disability,74.19,86.75
5,Deprivation,68.84,64.48
6,% Active,65.26,70.57
6,Enjoyment,102.69,99.73
6,Community Trust,51.46,56.88
6,% Disability,89.64,86.75
6,Deprivation,85.39,64.48
7,% Active,78.54,70.57
7,Enjoyment,103.43,99.73
7,Community Trust,64.81,56.88
7,% Disability,93.37,86.75
7,Deprivation,41.06,64.48
8,% Active,76.25,70.57
8,Enjoyment,102.93,99.73
8,Community Trust,52.97,56.88
8,% Disability,87.45,86.75
8,Deprivation,72.13,64.48
9,% Active,67.71,70.57
9,Enjoyment,99.53,99.73
9,Community Trust,51.3,56.88
9,% Disability,91.68,86.75
9,Deprivation,77.27,64.48
10,% Active,89.72,70.57
10,Enjoyment,121.32,99.73
10,Community Trust,58.24,56.88
10,% Disability,97.92,86.75
10,Deprivation,64.52,64.48
11,% Active,84.05,70.57
11,Enjoyment,104.92,99.73
11,Community Trust,55.43,56.88
11,% Disability,91.67,86.75
11,Deprivation,75.87,64.48
12,% Active,78.7,70.57
12,Enjoyment,100.45,99.73
12,Community Trust,60.88,56.88
12,% Disability,90.19,86.75
12,Deprivation,48.25,64.48
13,% Active,52.98,70.57
13,Enjoyment,93.87,99.73
13,Community Trust,51.68,56.88
13,% Disability,58.23,86.75
13,Deprivation,76.01,64.48
14,% Active,39.25,70.57
14,Enjoyment,73.59,99.73
14,Community Trust,43.62,56.88
14,% Disability,1.29,86.75
14,Deprivation,77.89,64.48
15,% Active,77.59,70.57
15,Enjoyment,94.99,99.73
15,Community Trust,58.46,56.88
15,% Disability,89.64,86.75
15,Deprivation,67.64,64.48
16,% Active,52.7,70.57
16,Enjoyment,95.31,99.73
16,Community Trust,50.2,56.88
16,% Disability,80.97,86.75
16,Deprivation,81.29,64.48
17,% Active,74.15,70.57
17,Enjoyment,88.34,99.73
17,Community Trust,56.33,56.88
17,% Disability,91.47,86.75
17,Deprivation,68.58,64.48
18,% Active,60.39,70.57
18,Enjoyment,92.32,99.73
18,Community Trust,55.41,56.88
18,% Disability,69.09,86.75
18,Deprivation,61.16,64.48
19,% Active,60.04,70.57
19,Enjoyment,98.97,99.73
19,Community Trust,65.22,56.88
19,% Disability,83.72,86.75
19,Deprivation,50.1,64.48
20,% Active,77.5,70.57
20,Enjoyment,107.16,99.73
20,Community Trust,55.76,56.88
20,% Disability,93.98,86.75
20,Deprivation,76.39,64.48
21,% Active,68.47,70.57
21,Enjoyment,101.62,99.73
21,Community Trust,52.23,56.88
21,% Disability,91.94,86.75
21,Deprivation,68.27,64.48
22,% Active,56.33,70.57
22,Enjoyment,90.34,99.73
22,Community Trust,54.55,56.88
22,% Disability,70.45,86.75
22,Deprivation,64.6,64.48
23,% Active,81.77,70.57
23,Enjoyment,109.17,99.73
23,Community Trust,60.92,56.88
23,% Disability,95.17,86.75
23,Deprivation,50.19,64.48
24,% Active,31.29,70.57
24,Enjoyment,73.79,99.73
24,Community Trust,56.03,56.88
24,% Disability,27.93,86.75
24,Deprivation,65.29,64.48
25,% Active,67.41,70.57
25,Enjoyment,101.26,99.73
25,Community Trust,52.11,56.88
25,% Disability,87.68,86.75
25,Deprivation,74.17,64.48
26,% Active,69.66,70.57
26,Enjoyment,100.21,99.73
26,Community Trust,52.44,56.88
26,% Disability,90.3,86.75
26,Deprivation,65.65,64.48
