LCA_Class,t,MEMS_actual,MEMS_sarima,period
0,0,586.2912621359224,,train
0,1,724.9629629629629,,train
0,2,533.3422330097087,,train
0,3,846.2420212765958,,train
0,4,373.9512987012987,,train
0,5,624.7469135802469,,train
0,6,904.95,,train
0,7,599.9871794871794,,train
0,8,490.6714285714286,,train
0,9,603.1447368421053,,train
0,10,490.4775641025641,,train
0,11,558.610655737705,,train
0,12,461.7647058823529,,train
0,13,683.125,,train
0,14,627.6037735849056,,train
0,15,675.9722222222222,,train
0,16,347.44444444444446,,train
0,17,667.2348484848485,,train
0,18,474.28819444444446,,train
0,19,431.7543859649123,,train
0,20,556.9314516129032,,train
0,21,662.900641025641,,train
0,22,913.0737704918033,,train
0,23,517.859375,,train
0,24,794.2708333333334,,train
0,25,728.0185185185185,,train
0,26,554.6188524590164,,train
0,27,586.575,,train
0,28,586.575,651.4187747769529,forecast
0,29,,778.5861157427607,forecast
0,30,,938.2246158497785,forecast
0,31,,622.4754367483724,forecast
0,32,,858.6627741880884,forecast
0,33,,828.85453219445,forecast
0,34,,717.0545496864668,forecast
0,35,,684.5607590646196,forecast
0,36,,781.1550007314078,forecast
0,37,,879.2031859041319,forecast
0,38,,988.3810864383918,forecast
0,39,,725.2763929533489,forecast
0,40,,935.5187442739162,forecast
0,41,,929.4711733733482,forecast
0,42,,858.7272537091038,forecast
0,43,,783.3864462199396,forecast
1,0,502.182119205298,,train
1,1,572.9385593220339,,train
1,2,634.9565217391304,,train
1,3,547.9653284671533,,train
1,4,459.3288288288288,,train
1,5,727.8925438596491,,train
1,6,670.3194444444445,,train
1,7,516.75,,train
1,8,550.2345360824743,,train
1,9,703.2783505154639,,train
1,10,735.5597345132743,,train
1,11,502.3132183908046,,train
1,12,398.2964285714286,,train
1,13,552.4258474576271,,train
1,14,811.0375,,train
1,15,380.3611111111111,,train
1,16,611.0106382978723,,train
1,17,626.2446808510638,,train
1,18,911.0591397849462,,train
1,19,482.67857142857144,,train
1,20,544.9975490196078,,train
1,21,725.558962264151,,train
1,22,613.6757425742575,,train
1,23,508.06666666666666,,train
1,24,565.3983516483516,,train
1,25,521.9184782608696,,train
1,26,655.6675,,train
1,27,635.1875,,train
1,28,635.1875,504.19644026237916,forecast
1,29,,652.8829057420314,forecast
1,30,,730.1302961537308,forecast
1,31,,531.0142072466247,forecast
1,32,,534.3727225994221,forecast
1,33,,653.6892289527656,forecast
1,34,,738.0469708460779,forecast
1,35,,531.4502120088619,forecast
