LCA_Class,t,MEMS_actual,MEMS_bayesian,period
0,0,669.5220588235294,,train
0,1,636.9424846625767,,train
0,2,535.1526315789474,,train
0,3,616.0439814814815,,train
0,4,474.4175724637681,,train
0,5,660.666037735849,,train
0,6,673.7549603174604,,train
0,7,673.7549603174604,609.4997267599399,forecast
0,8,,609.499668197653,forecast
0,9,,609.4996096353661,forecast
0,10,,609.4995510730793,forecast
1,0,559.5537428023033,,train
1,1,595.7407834101382,,train
1,2,630.4828680203045,,train
1,3,559.3170926517572,,train
1,4,665.3540502793296,,train
1,5,605.6907552083334,,train
1,6,594.6267217630854,,train
1,7,594.6267217630854,601.550310859436,forecast
1,8,,601.5533880694645,forecast
1,9,,601.5564652794931,forecast
1,10,,601.5595424895216,forecast
2,0,693.4459191759113,,train
2,1,782.6659028414299,,train
2,2,765.8833786231884,,train
2,3,693.7729713603819,,train
2,4,634.0980525362319,,train
2,5,782.172831632653,,train
2,6,757.7084717607974,,train
2,7,757.7084717607974,729.9665530187816,forecast
2,8,,729.9672081330987,forecast
2,9,,729.9678632474157,forecast
2,10,,729.9685183617328,forecast
3,0,581.1574492099322,,train
3,1,588.7040880503145,,train
3,2,610.8974867724868,,train
3,3,614.5764388489208,,train
3,4,598.2893184796854,,train
3,5,601.154711673699,,train
3,6,643.293991416309,,train
3,7,643.293991416309,630.2173536281688,forecast
3,8,,636.4119247333771,forecast
3,9,,642.6064958385854,forecast
3,10,,648.8010669437938,forecast
4,0,608.64375,,train
4,1,638.4393095768374,,train
4,2,562.9845474613686,,train
4,3,586.2278481012659,,train
4,4,464.0,,train
4,5,653.9963503649635,,train
4,6,593.9822335025381,,train
4,7,593.9822335025381,586.8938848375692,forecast
4,8,,586.8932832252839,forecast
4,9,,586.8926816129984,forecast
4,10,,586.8920800007131,forecast
5,0,647.6388461538462,,train
5,1,710.4405772495755,,train
5,2,670.6288395904437,,train
5,3,668.4739709443099,,train
5,4,704.6151385927506,,train
5,5,730.6428571428571,,train
5,6,773.977653631285,,train
5,7,773.977653631285,760.1133080497833,forecast
5,8,,774.912424944191,forecast
5,9,,789.7115418385988,forecast
5,10,,804.5106587330065,forecast
6,0,631.5418181818181,,train
6,1,751.8566037735849,,train
6,2,557.2356115107914,,train
6,3,629.9055555555556,,train
6,4,580.313829787234,,train
6,5,792.8313397129186,,train
6,6,692.4965909090909,,train
6,7,692.4965909090909,662.3166741778924,forecast
6,8,,662.3179373855444,forecast
6,9,,662.3192005931962,forecast
6,10,,662.3204638008482,forecast
7,0,753.8708628841607,,train
7,1,781.1587968952134,,train
7,2,761.1897289586306,,train
7,3,755.419384057971,,train
7,4,861.1267730496454,,train
7,5,851.3417890520694,,train
7,6,919.1111449451888,,train
7,7,919.1111449451888,911.4191947963632,forecast
7,8,,936.3019049296367,forecast
7,9,,961.1846150629104,forecast
7,10,,986.0673251961841,forecast
8,0,993.8498201438849,,train
8,1,964.1493644067797,,train
8,2,1006.172131147541,,train
8,3,797.1171875,,train
8,4,758.2684426229508,,train
8,5,1148.8398058252428,,train
8,6,949.865,,train
8,7,949.865,945.4647185094973,forecast
8,8,,945.4644070066431,forecast
8,9,,945.4640955037889,forecast
8,10,,945.4637840009347,forecast
9,0,822.6673497267759,,train
9,1,788.7010703363915,,train
9,2,810.1077464788732,,train
9,3,641.4301075268817,,train
9,4,666.8685410334347,,train
9,5,839.4406779661017,,train
9,6,943.0821799307959,,train
9,7,943.0821799307959,787.4756099084944,forecast
9,8,,787.4767383499303,forecast
9,9,,787.4778667913663,forecast
9,10,,787.4789952328022,forecast
10,0,1062.6272810218977,,train
10,1,1201.9645127118645,,train
10,2,1200.2416338582677,,train
10,3,1135.9239562624255,,train
10,4,940.7881773399015,,train
10,5,1197.869337979094,,train
10,6,1178.8368465430017,,train
10,7,1178.8368465430017,1131.1799335143655,forecast
10,8,,1131.180211688798,forecast
10,9,,1131.1804898632304,forecast
10,10,,1131.1807680376626,forecast
11,0,921.1658345221113,,train
11,1,949.7902298850574,,train
11,2,1009.5240384615385,,train
11,3,925.5927350427351,,train
11,4,798.9599173553719,,train
11,5,1037.0138190954774,,train
11,6,1054.3745928338762,,train
11,7,1054.3745928338762,956.6430926634433,forecast
11,8,,956.6459670008696,forecast
11,9,,956.6488413382959,forecast
11,10,,956.6517156757222,forecast
12,0,722.574531516184,,train
12,1,776.5848393574297,,train
12,2,773.6350325379609,,train
12,3,801.348167539267,,train
12,4,793.771052631579,,train
12,5,777.0486111111111,,train
12,6,821.5833333333334,,train
12,7,821.5833333333334,821.947129978055,forecast
12,8,,832.2001421858951,forecast
12,9,,842.4531543937351,forecast
12,10,,852.7061666015751,forecast
13,0,531.8666666666667,,train
13,1,574.3697916666666,,train
13,2,584.9260204081633,,train
13,3,538.2262658227849,,train
13,4,581.9586538461539,,train
13,5,561.3977272727273,,train
13,6,474.5502450980392,,train
13,7,474.5502450980392,546.4544745044165,forecast
13,8,,545.6646870311919,forecast
13,9,,544.8748995579674,forecast
13,10,,544.0851120847428,forecast
14,0,434.3056603773585,,train
14,1,393.51785714285717,,train
14,2,460.52536231884056,,train
14,3,489.5621468926554,,train
14,4,338.96090047393363,,train
14,5,345.03125,,train
14,6,340.25441696113074,,train
14,7,340.25441696113074,347.7768579028742,forecast
14,8,,334.6440154440651,forecast
14,9,,321.51117298525594,forecast
14,10,,308.3783305264468,forecast
15,0,800.0597502972652,,train
15,1,798.4555854643338,,train
15,2,766.8047900262467,,train
15,3,816.175925925926,,train
15,4,803.6166424418604,,train
15,5,857.6486291486292,,train
15,6,880.4575332348596,,train
15,7,880.4575332348596,868.5198158488085,forecast
15,8,,881.2490963631849,forecast
15,9,,893.9783768775612,forecast
15,10,,906.7076573919377,forecast
16,0,568.5367943548387,,train
16,1,640.1153366583541,,train
16,2,646.1026666666667,,train
16,3,477.72688356164383,,train
16,4,470.0410863509749,,train
16,5,563.002688172043,,train
16,6,549.4514492753623,,train
16,7,549.4514492753623,544.3872128786293,forecast
16,8,,540.6634123468622,forecast
16,9,,536.939611815095,forecast
16,10,,533.2158112833279,forecast
17,0,634.6772334293948,,train
17,1,638.133775351014,,train
17,2,658.9540971168437,,train
17,3,607.2658959537572,,train
17,4,558.0787801778907,,train
17,5,660.6487867177523,,train
17,6,735.5948275862069,,train
17,7,735.5948275862069,641.9322361826416,forecast
17,8,,641.9383882164143,forecast
17,9,,641.9445402501868,forecast
17,10,,641.9506922839595,forecast
18,0,409.17910447761193,,train
18,1,436.34722222222223,,train
18,2,569.1979166666666,,train
18,3,669.438524590164,,train
18,4,461.8433333333333,,train
18,5,633.4252577319587,,train
18,6,747.4038461538462,,train
18,7,747.4038461538462,726.5432605170438,forecast
18,8,,767.9349611757403,forecast
18,9,,809.3266618344369,forecast
18,10,,850.7183624931336,forecast
19,0,495.40958737864077,,train
19,1,507.4739382239382,,train
19,2,551.2637665198238,,train
19,3,547.864705882353,,train
19,4,622.2059925093633,,train
19,5,588.2469618055555,,train
19,6,591.7867210682492,,train
19,7,591.7867210682492,628.3314551331805,forecast
19,8,,645.9767591526212,forecast
19,9,,663.6220631720619,forecast
19,10,,681.2673671915026,forecast
20,0,779.1737179487179,,train
20,1,860.2809798270894,,train
20,2,899.667,,train
20,3,763.066,,train
20,4,788.086318051576,,train
20,5,886.2695763799743,,train
20,6,860.9987080103359,,train
20,7,860.9987080103359,833.9398194719,forecast
20,8,,833.9411207606717,forecast
20,9,,833.9424220494433,forecast
20,10,,833.943723338215,forecast
21,0,885.6060037523453,,train
21,1,977.2715189873418,,train
21,2,882.3574380165289,,train
21,3,801.6432225063938,,train
21,4,663.2086374695864,,train
21,5,937.6588397790056,,train
21,6,999.7906839622641,,train
