lca_class,cluster,year,mems_mins_per_week,pct_active,pct_volunteering,period
6,Black Middle-aged Professional Women,2017,682.04,68.38,20.56,historical
6,Black Middle-aged Professional Women,2018,655.42,65.4,19.38,historical
6,Black Middle-aged Professional Women,2019,653.24,69.96,24.12,historical
6,Black Middle-aged Professional Women,2020,558.99,56.61,15.93,historical
6,Black Middle-aged Professional Women,2021,578.35,61.73,10.44,historical
6,Black Middle-aged Professional Women,2022,794.56,67.0,12.66,historical
6,Black Middle-aged Professional Women,2023,707.83,65.43,15.69,historical
6,Black Middle-aged Professional Women,2024,661.5,62.77,11.22,forecast
6,Black Middle-aged Professional Women,2025,661.5,62.22,10.13,forecast
6,Black Middle-aged Professional Women,2026,661.5,61.66,9.2,forecast
6,Black Middle-aged Professional Women,2027,661.5,61.12,8.43,forecast
24,Disabled Older Retirees,2017,272.6,26.51,6.54,historical
24,Disabled Older Retirees,2018,271.68,34.05,6.87,historical
24,Disabled Older Retirees,2019,275.2,34.36,11.72,historical
24,Disabled Older Retirees,2020,219.54,29.63,7.92,historical
24,Disabled Older Retirees,2021,329.93,28.77,3.73,historical
24,Disabled Older Retirees,2022,226.74,31.82,8.27,historical
24,Disabled Older Retirees,2023,324.01,31.15,5.66,historical
24,Disabled Older Retirees,2024,274.25,31.49,5.98,forecast
24,Disabled Older Retirees,2025,274.25,31.63,5.7,forecast
24,Disabled Older Retirees,2026,274.25,31.77,5.42,forecast
24,Disabled Older Retirees,2027,274.25,31.91,5.15,forecast
7,Established White British Retirees,2017,763.74,77.44,23.19,historical
7,Established White British Retirees,2018,770.15,76.73,21.75,historical
7,Established White British Retirees,2019,765.69,78.71,24.36,historical
7,Established White British Retirees,2020,778.39,78.02,20.98,historical
7,Established White British Retirees,2021,874.76,79.47,17.63,historical
7,Established White British Retirees,2022,818.17,77.23,17.44,historical
7,Established White British Retirees,2023,964.59,80.2,22.11,historical
7,Established White British Retirees,2024,925.7,79.71,18.34,forecast
7,Established White British Retirees,2025,952.29,80.06,17.72,forecast
7,Established White British Retirees,2026,978.88,80.4,17.14,forecast
7,Established White British Retirees,2027,1005.46,80.73,16.6,forecast
5,Highly Educated Early Retirees,2017,670.02,71.7,18.41,historical
5,Highly Educated Early Retirees,2018,692.06,70.4,18.63,historical
5,Highly Educated Early Retirees,2019,682.95,70.03,16.88,historical
5,Highly Educated Early Retirees,2020,661.06,66.26,14.81,historical
5,Highly Educated Early Retirees,2021,706.33,68.18,11.11,historical
5,Highly Educated Early Retirees,2022,731.32,70.75,14.22,historical
5,Highly Educated Early Retirees,2023,804.15,71.12,14.87,historical
5,Highly Educated Early Retirees,2024,771.98,69.35,11.91,forecast
5,Highly Educated Early Retirees,2025,788.26,69.24,11.1,forecast
5,Highly Educated Early Retirees,2026,804.54,69.13,10.36,forecast
5,Highly Educated Early Retirees,2027,820.83,69.02,9.7,forecast
20,Highly Educated White Other Professionals,2017,796.15,76.27,18.5,historical
20,Highly Educated White Other Professionals,2018,885.02,75.93,16.58,historical
20,Highly Educated White Other Professionals,2019,873.47,79.64,16.74,historical
20,Highly Educated White Other Professionals,2020,750.06,72.13,11.31,historical
20,Highly Educated White Other Professionals,2021,794.36,77.22,9.58,historical
20,Highly Educated White Other Professionals,2022,869.09,80.35,12.61,historical
20,Highly Educated White Other Professionals,2023,896.26,79.97,13.18,historical
20,Highly Educated White Other Professionals,2024,837.78,79.87,9.73,forecast
20,Highly Educated White Other Professionals,2025,837.78,80.41,8.85,forecast
20,Highly Educated White Other Professionals,2026,837.78,80.92,8.09,forecast
20,Highly Educated White Other Professionals,2027,837.78,81.4,7.44,forecast
1,Highly Educated Working Mothers,2017,550.67,60.47,22.52,historical
1,Highly Educated Working Mothers,2018,620.32,62.11,24.02,historical
1,Highly Educated Working Mothers,2019,619.93,61.73,24.79,historical
1,Highly Educated Working Mothers,2020,540.52,56.48,18.53,historical
1,Highly Educated Working Mothers,2021,675.29,67.41,12.67,historical
1,Highly Educated Working Mothers,2022,630.26,61.89,14.06,historical
1,Highly Educated Working Mothers,2023,582.59,62.82,16.48,historical
1,Highly Educated Working Mothers,2024,602.8,63.68,12.29,forecast
1,Highly Educated Working Mothers,2025,602.8,64.12,11.15,forecast
1,Highly Educated Working Mothers,2026,602.81,64.56,10.24,forecast
1,Highly Educated Working Mothers,2027,602.81,64.99,9.55,forecast
10,Highly Motivated Young Professional Men,2017,1061.76,88.04,30.77,historical
10,Highly Motivated Young Professional Men,2018,1178.96,91.54,27.43,historical
10,Highly Motivated Young Professional Men,2019,1241.52,93.14,22.38,historical
10,Highly Motivated Young Professional Men,2020,1067.2,88.02,22.14,historical
10,Highly Motivated Young Professional Men,2021,985.11,87.1,13.38,historical
10,Highly Motivated Young Professional Men,2022,1183.92,90.68,18.23,historical
10,Highly Motivated Young Professional Men,2023,1217.53,91.04,21.86,historical
10,Highly Motivated Young Professional Men,2024,1133.72,90.08,14.54,forecast
10,Highly Motivated Young Professional Men,2025,1133.72,90.11,13.15,forecast
10,Highly Motivated Young Professional Men,2026,1133.72,90.15,12.02,forecast
10,Highly Motivated Young Professional Men,2027,1133.72,90.19,11.12,forecast
19,Independent Older Retirees,2017,498.78,55.4,21.99,historical
19,Independent Older Retirees,2018,518.32,60.81,18.69,historical
19,Independent Older Retirees,2019,547.81,59.09,17.26,historical
19,Independent Older Retirees,2020,554.45,61.13,18.24,historical
19,Independent Older Retirees,2021,636.8,63.23,12.87,historical
19,Independent Older Retirees,2022,554.88,57.07,16.58,historical
19,Independent Older Retirees,2023,623.33,62.17,15.73,historical
19,Independent Older Retirees,2024,631.97,62.35,13.44,forecast
19,Independent Older Retirees,2025,649.45,62.91,12.62,forecast
19,Independent Older Retirees,2026,666.93,63.44,11.89,forecast
19,Independent Older Retirees,2027,684.41,63.94,11.25,forecast
4,Later-career Middle Socio-economic Workers,2017,627.99,62.65,15.22,historical
4,Later-career Middle Socio-economic Workers,2018,603.82,62.59,15.68,historical
4,Later-career Middle Socio-economic Workers,2019,561.75,60.5,16.01,historical
4,Later-career Middle Socio-economic Workers,2020,571.1,62.08,12.97,historical
4,Later-career Middle Socio-economic Workers,2021,485.23,54.2,6.17,historical
4,Later-career Middle Socio-economic Workers,2022,652.21,64.71,12.37,historical
4,Later-career Middle Socio-economic Workers,2023,597.68,57.23,11.54,historical
4,Later-career Middle Socio-economic Workers,2024,585.68,57.97,8.71,forecast
4,Later-career Middle Socio-economic Workers,2025,585.68,57.34,7.73,forecast
4,Later-career Middle Socio-economic Workers,2026,585.68,56.71,6.82,forecast
4,Later-career Middle Socio-economic Workers,2027,585.68,56.11,5.99,forecast
23,Later-career Professional Men,2017,849.77,80.83,25.51,historical
23,Later-career Professional Men,2018,941.77,83.38,29.17,historical
23,Later-career Professional Men,2019,856.16,83.55,27.84,historical
23,Later-career Professional Men,2020,859.07,79.22,21.33,historical
23,Later-career Professional Men,2021,869.17,79.3,17.38,historical
23,Later-career Professional Men,2022,904.11,80.0,21.5,historical
23,Later-career Professional Men,2023,996.95,81.04,21.85,historical
23,Later-career Professional Men,2024,928.0,79.56,18.32,forecast
23,Later-career Professional Men,2025,935.82,79.21,17.28,forecast
23,Later-career Professional Men,2026,943.64,78.87,16.37,forecast
23,Later-career Professional Men,2027,951.46,78.54,15.59,forecast
12,Later-career Professional Women,2017,719.02,78.77,23.18,historical
12,Later-career Professional Women,2018,742.32,79.04,24.45,historical
12,Later-career Professional Women,2019,791.39,83.11,25.96,historical
12,Later-career Professional Women,2020,798.6,75.84,15.4,historical
12,Later-career Professional Women,2021,800.53,77.88,13.04,historical
12,Later-career Professional Women,2022,759.54,76.77,16.33,historical
12,Later-career Professional Women,2023,863.36,76.33,16.48,historical
12,Later-career Professional Women,2024,842.84,75.87,12.77,forecast
12,Later-career Professional Women,2025,858.02,75.36,11.66,forecast
12,Later-career Professional Women,2026,873.2,74.88,10.77,forecast
12,Later-career Professional Women,2027,888.38,74.44,10.08,forecast
14,Long-term Sick and Disabled Adults,2017,385.12,41.7,9.38,historical
14,Long-term Sick and Disabled Adults,2018,401.02,43.28,9.87,historical
14,Long-term Sick and Disabled Adults,2019,481.55,45.54,4.11,historical
